MID	state	page	role	content	ps	book
23	7	67	舍	噢噢噢! 啊煞無見......	NULL	邱罔舍第一部
24	7	67	甲	白賊, 有目周的人無見, 也無目周要看啥?	NULL	邱罔舍第一部
25	7	67	舍	嘿, 不要 (mai2) 受氣啦, 我麼是青冥的你知麼?	NULL	邱罔舍第一部
26	7	67	乙	嘿! 你也是青冥的, 你若不是青冥的, 你就是狗生的! 還 (ia2) 若無就是邱罔舍.	NULL	邱罔舍第一部
27	7	67	舍	ㄝㄝ, 我問你, 邱罔舍還較 (kha2) 輸什扛?	NULL	邱罔舍第一部
28	7	67	乙	彼當然囉! 若不是邱罔舍, 目光的啥人會騙青冥的.	NULL	邱罔舍第一部
29	7	68	舍	著啦! 有影, 我確實是青冥的, 大家都攏無看見, 要泰討有法度, 不信, 你看吧咧!	NULL	邱罔舍第一部
30	8	69	舍	ei2, 你們 (lin2) 愛這龍銀麼?	NULL	邱罔舍第一部
31	8	69	小孩	要, 要, 乎我! 乎我!	NULL	邱罔舍第一部
32	8	70	舍	好, 乎你, 不過愛聽我的話噢, 正要乎你.	NULL	邱罔舍第一部
33	8	70	小孩們	好, 好!	NULL	邱罔舍第一部
34	8	70	舍	若安呢, 我五茪H二塊銀乎你, 來來來, 來穿這個, 我龍銀給 (ka7) 你包滯這內底, 好麼?	NULL	邱罔舍第一部
35	8	70	小孩們	好好, 我先穿, 我先穿!	NULL	邱罔舍第一部
36	8	70	舍	走走走, 不走要打!	NULL	邱罔舍第一部
37	9	71	九嫂	唉喲! 僥倖喔, 啥人給你穿的, 好! 來去找伊.	NULL	邱罔舍第一部
38	9	72	九嫂	這誰給的? 這麼大的銀子!	NULL	邱罔舍第一部
39	9	72	寶	是邱罔舍.	NULL	邱罔舍第一部
40	9	72	九嫂	呼! 就是伊. 喲......憨的, 後滿不當過去乎伊騙去嘿......	NULL	邱罔舍第一部
41	10	73	醜母	thai5 頭犯, thai5 頭犯, 你, 你安怎穿這貨轉來?	NULL	邱罔舍第一部
42	11	74	舍	喂, 麵! 肉下較贅 (tsue7) 咧, 加魯卵, 創較清氣咧啊!	NULL	邱罔舍第一部
43	11	74	通	呼!	NULL	邱罔舍第一部
44	11	75	舍	嚇! 我突正 ti7 e1 吞 bue7 落去, 我叫是安怎喂 (e3), 看你安怎拍算?	NULL	邱罔舍第一部
45	11	75	舍	你挑故下這位撒仔, 是要害死我喝 (ho3) ! 來, 來去見官!	NULL	邱罔舍第一部
46	11	75	通	草那會害死人? 你麼不要安呢冤枉! 彼小仔 (su7 a2) 沒要緊啦......	NULL	邱罔舍第一部
47	11	75	舍	哇哈, 還直合我嘖 (tsiN3)! 草不會害死人! 好, 你參拉撒乎人吃, 沒抵不是還無要緊, 煞直講涼??話, 來! 你侮辱斯文, 若安呢來去見官!	NULL	邱罔舍第一部
48	11	75	通	請大家替我求情, 求情, 下次我予w斟酌, 這滿請原諒我!	NULL	邱罔舍第一部
49	11	76	A	這滿容情伊啦! 後滿正叫伊較仔細咧!	NULL	邱罔舍第一部
50	11	76	舍	好, 這滿看大家的面子, 容情你, 愛乎我拍中U正會甘?	NULL	邱罔舍第一部
51	11	76	舍	啦! 這大個銀乎你!	NULL	邱罔舍第一部
52	12	77	舍	ㄝ, ㄝ, 等咧, 乎我先剃好麼?	NULL	邱罔舍第一部
53	12	77	舍	這塊 (e7) 錢給你......做我尹J的報答.	NULL	邱罔舍第一部
54	12	77	客	啊! 好, 好, 請你代先, 哇, 尚過贅! 呆勢啊! 嘿! 不要 [aa], 沒的免啦......	NULL	邱罔舍第一部
55	12	77	舍	嚶, 要乎你, 你就收起來.	NULL	邱罔舍第一部
56	12	77	宗	嚶, 少爺, 要安怎剃?	NULL	邱罔舍第一部
57	12	78	舍	照舊樣子剃啦!	NULL	邱罔舍第一部
58	12	78	宗	嘴秋不知要剃麼?	NULL	邱罔舍第一部
59	12	78	舍	不剃留著要享福......	NULL	邱罔舍第一部
60	12	78	宗	乎, 不剃是麼?	NULL	邱罔舍第一部
61	12	78	舍	不剃留著要享福, 沒聽見是麼?	NULL	邱罔舍第一部
62	12	78	宗	著 (tioh8), 著......	NULL	邱罔舍第一部
63	12	79	舍	嘿! 啥貨? 我的嘴秋呢? 喂, 我的嘴秋坤 (ta7) 去?	NULL	邱罔舍第一部
64	12	79	宗	嗯, 你突正敢不是講要剃?	NULL	邱罔舍第一部
65	12	79	舍	講啥? 唉好, 你好大膽敢剃我的嘴秋.	NULL	邱罔舍第一部
66	12	79	宗	"你, 你, 你敢無是講 ""不剃留著要享福?"""	NULL	邱罔舍第一部
67	12	79	舍	"著啊! 我講 ""不剃, 留著要享福!"" 你問大家我敢不是安呢講?"	NULL	邱罔舍第一部
68	12	79	客	"著, 著! 人伊講 ""不剃, 留著要享福."""	NULL	邱罔舍第一部
69	12	79	宗	唉呀! 你拍我......	NULL	邱罔舍第一部
70	12	79	舍	iau7 拍你是安怎? 到 (ka7) 安呢好, 來, 賠來! 嘴秋你愛給我接到轉去!	NULL	邱罔舍第一部
71	12	80	舍	若無不放你煞......	NULL	邱罔舍第一部
72	12	80	宗	頭的, 不要安呢啦! 嘴秋要將會接哩?	NULL	邱罔舍第一部
73	12	80	舍	哇哈, 嘴秋彼快長是麼? 你偏偏仔 (a2) 要剃我的嘴秋, 看你拍算怎樣?	NULL	邱罔舍第一部
74	12	80	宗	彼阿著正該死! 今看你要安怎? 隨在你啦......	NULL	邱罔舍第一部
75	12	80	舍	看我要安怎? 我要愛你嘴秋給我接轉去就好 [bb].	NULL	邱罔舍第一部
76	12	80	A	邱少爺, 請你 mai2 受氣啦, 他都已經給你抵 (tshieh) 不是啊!	NULL	邱罔舍第一部
77	12	80	B	嘴秋那將接會到轉去? 看你要安怎由在你啦.	NULL	邱罔舍第一部
78	12	80	舍	到這兒來, 也是遇 (tu2) 著啊, 這滿放你煞, 但是沒嘴秋, 也 bue7 見眾哩, 你愛去給我叫仇酵潀爭睌鄍h, 錢是愛你出噢......	NULL	邱罔舍第一部
79	12	80	宗	好, 好, 安呢好.	NULL	邱罔舍第一部
80	12	81	眾人	邱少爺, 你的度量實在真正大.	NULL	邱罔舍第一部
81	12	81	舍	豈敢, 豈敢, 實在講的, 我的嘴秋是留正久啊! 中U子沒去, 哇正艱苦你知麼?	NULL	邱罔舍第一部
82	12	81	眾人	是啦! 是啦!	NULL	邱罔舍第一部
83	13	81	宗	邱少爺轎來啊, 請請.	NULL	邱罔舍第一部
84	13	81	舍	宗啊, 你錢不免給伊, 我正給伊.	NULL	邱罔舍第一部
85	16	83	銅	害呀! 害呀! 著人命啊!	NULL	邱罔舍第一部
86	18	85	A	哇! 彼那麼(hia2 ni7) 大的大炮.	NULL	邱罔舍第一部
87	18	86	王	沒人看的戲, 做要創啥? 來, 去看放大炮較贏.	NULL	邱罔舍第一部
88	18	86	B	喂! 喂! 要滯 to7 位仔放啊?	NULL	邱罔舍第一部
89	18	86	江	我不知影, 著要問伊.	NULL	邱罔舍第一部
90	18	86	C	ㄝㄝㄝ, 當時要放?	NULL	邱罔舍第一部
91	18	86	江	我不知, 你去問伊.	NULL	邱罔舍第一部
92	18	86	惡少	這個大炮予? 連厝頂都會飛掉去, 噢!	NULL	邱罔舍第一部
93	18	87	旁人	創啥貨! 你青冥也合人直爭啥貨?	NULL	邱罔舍第一部
94	18	87	相士乙	啥貨? 青冥敢就(to3) bue7 用得看囉!	NULL	邱罔舍第一部
95	18	87	旁人	不, 你是有看見是麼?	NULL	邱罔舍第一部
96	18	87	相士乙	無看見, 抑 bue7 使得聽的?	NULL	邱罔舍第一部
97	18	87	旁人	要聽, 要聽, 去後面麼有聽見, 那著滯這兒合人爭?	NULL	邱罔舍第一部
98	19	89	江	大家不當偎去! 不當偎去, 走較開咧!	NULL	邱罔舍第一部
99	19	89	江	這個時瞬尚光, 放大炮沒好看. 等候夜央正放, 請這兒的藝閣先做安怎?	NULL	邱罔舍第一部
100	19	89	江	好, 大家都贊成啊? 就安呢!	NULL	邱罔舍第一部
101	21	91	觀眾甲	今是安怎? 到這個時瞬還不放?!	NULL	邱罔舍第一部
102	21	91	觀眾乙	我不看啊! 誰要轉去? 行!	NULL	邱罔舍第一部
103	21	91	觀眾丙	有心等這麼 (tsia2) 久啊! 還不過再等中U!	NULL	邱罔舍第一部
104	21	91	觀眾丁	大概直 (ti7 e7)要放啊! 過等咧啦.	NULL	邱罔舍第一部
105	21	91	龍	到底放抑不放?! 彫古董!	NULL	邱罔舍第一部
106	21	92	江	要啦! 要啦!	NULL	邱罔舍第一部
107	23	93	乙	我敢無講? 邱罔舍這個小子到定要蒙人, 我們 (lan2) 的確是去乎伊蒙去啊啦.	NULL	邱罔舍第一部
108	23	93	甲	邱罔舍這個小子聽見講, 講是鱸鰻神來出左? 伊定著會亡家破產, 敢壞家風.	NULL	邱罔舍第一部
109	23	93	乙	伊害我們滯這挨寒受餓, 啊嘿啊著足可惡.	NULL	邱罔舍第一部
110	24	94	龍	彫古董! 彫一冥過一日.	NULL	邱罔舍第一部
111	24	94	同伴(?	嗐! 您娘我鬼咧, 來加拍!	NULL	邱罔舍第一部
112	24	94	同伴(二)	拍拍拍! 無拍 bue7 用的!	NULL	邱罔舍第一部
113	24	94	龍	沒啊, 你到底騙我們是要騙賴久, 講......	NULL	邱罔舍第一部
114	24	94	舍	我煤騙你們呀!	NULL	邱罔舍第一部
115	24	95	龍	你講要放大炮, 沒放, 害我們等五艉日, 安怎講沒騙阮?	NULL	邱罔舍第一部
116	24	95	舍	烏伊, 烏伊, 我, 我沒說要放大炮啊, 也沒叫你們來啊! 你敢有聽見我講? 你, 你, 還不放!	NULL	邱罔舍第一部
117	24	95	龍	不管你, 到底你放抑不放?	NULL	邱罔舍第一部
118	24	95	舍	ㄝ, ㄝㄝ, 嘿啊著成好笑啊嘿, 炮是我的, 啊放不放, 合你治大代?	NULL	邱罔舍第一部
119	24	95	龍	沒啊, 你真正不放? 拍你!	NULL	邱罔舍第一部
120	24	95	雀	放啦! 那會用得隨便拍人? 你這個人你也應該要放炮啦! 人都直底等你.	NULL	邱罔舍第一部
121	24	95	舍	好, 好, 好, 這滿隨時放, 你不要安呢扭啦.	NULL	邱罔舍第一部
122	24	95	江	乎來, 這滿要來放啊, 大家走較開咧噢.......	NULL	邱罔舍第一部
123	24	96	江	看吧咧! 直要放了啊!	NULL	邱罔舍第一部
124	25	97	觀眾甲	啥貨? 啥貨? 泰沒響?	NULL	邱罔舍第一部
125	25	97	觀眾乙	是啊, 沒響呢?	NULL	邱罔舍第一部
126	25	97	觀眾丙	無定著是炮心去乎露水凍濕了煞 bue7 導火.	NULL	邱罔舍第一部
127	25	98	觀眾丁	唉! Lin7 娘嘿! 我們去給騙去呵, 不是真的, 是假的, 唉! 唉......	NULL	邱罔舍第一部
128	25	98	龍	好, mai2 給我找著, 找著拍中U給伊死.	NULL	邱罔舍第一部
129	25	99	女人	不知乎伊走到 to7 位仔去, 還的 (ti7 e7) 找?	NULL	邱罔舍第一部
130	25	99	古伯	咳! 講來講去還是咱們 (lan2) 家己憨!	NULL	邱罔舍第一部
131	25	99	王	明其知邱罔舍會蒙人, 偏偏走來給伊蒙, 唉, 可惱呀! Ha hi ha hi ha, 吩咐哥來, 帶馬回家長安!	NULL	邱罔舍第一部
132	26	100	舍	喂, 柴丹吨蝧鉰媬?	NULL	邱罔舍第一部
133	26	100	甲	丹吨T十文.	NULL	邱罔舍第一部
134	26	100	舍	你敢干單冗廕蒂?	NULL	邱罔舍第一部
135	26	100	甲	你要賴贅?	NULL	邱罔舍第一部
136	26	100	舍	較贅我都愛.	NULL	邱罔舍第一部
137	26	100	甲	是安怎愛到彼贅?	NULL	邱罔舍第一部
138	26	100	舍	我要革酒.	NULL	邱罔舍第一部
139	26	100	甲	喔! 你要革酒? 阿福, 喂, 你要賣麼?......丹吨蝷百三十文......	NULL	邱罔舍第一部
140	26	100	福	要啊, 那不賣?	NULL	邱罔舍第一部
141	26	100	甲	阿龍: 你呢?	NULL	邱罔舍第一部
142	26	100	龍	錢若先給我, 我正要賣啦!	NULL	邱罔舍第一部
143	26	101	舍	會用的, 錢攏先給你們!	NULL	邱罔舍第一部
144	26	101	甲	喂! 賣柴的攏來噢! 這裡 (tsia1) 攏要買啦!	NULL	邱罔舍第一部
145	26	101	舍	你們大家報斤量, 按斤數算錢給你 (lin2).	NULL	邱罔舍第一部
146	26	101	龍	我的是丹吨G十斤.	NULL	邱罔舍第一部
147	26	101	舍	你的斤量敢有夠? 那會彼小仔 (su7 a2)?	NULL	邱罔舍第一部
148	26	101	龍	是喲! 我的要算丹吨G十斤, 買不買由你, 賣不賣由我.	NULL	邱罔舍第一部
149	26	101	舍	啊好, 給你, 那安呢大家追 (tue2) 我來.	NULL	邱罔舍第一部
150	27	102	舍	ㄝ, 你們滯這裡歇困中U.	NULL	邱罔舍第一部
151	27	102	舍	你們且等咧, 我從後門去開.	NULL	邱罔舍第一部
152	27	102	舍	著, ......安呢, 你們這兒的柴用[cc] 的就好啦! 因為這兒的都 [dd] 要揮滯牆圍仔腳, 你們這的柴還無夠, 我過再來去叫, 你滯這兒 [cc] [cc] 咧就好啊.	NULL	邱罔舍第一部
153	27	103	龍	叫 [cc] 就 [cc], 敢驚伊啥貨, 錢也已經提了啦, 等伊要食鹽?	NULL	邱罔舍第一部
154	32	105	佣人	害呀! 害呀! 是啥大誌?!	NULL	邱罔舍第一部
155	32	105	崔	唉唉, 你這兒的底創啥? 不較趕緊咧, 還擱再立滯彼兒! 唉呀! 我的寶備攏去啊!	NULL	邱罔舍第一部
156	32	106	崔	憨雞! 拍底大門出去啦!	NULL	邱罔舍第一部
157	32	106	崔	不免驚! 拂去! 拂去!	NULL	邱罔舍第一部
158	32	106	崔	開門拍出去!	NULL	邱罔舍第一部
159	34	107	崔	你這兒的快走, 我們輸了, 走噢!	NULL	邱罔舍第一部
160	41	111	舍	攏來未?	NULL	邱罔舍第一部
161	41	111	佣人	攏來啊!	NULL	邱罔舍第一部
162	41	111	舍	算命先生......	NULL	邱罔舍第一部
163	41	111	舍	今那日請你們大家來算命, 最要緊的是要算會著, 好歹都不免掩蓋, 講有著有重賞, 講不著的錢乎 lin7較少.	NULL	邱罔舍第一部
164	41	111	舍	講實實在在講, 若是照命理斷, 啥貨仔歹話我都愛聽......	NULL	邱罔舍第一部
165	41	111	舍	自這滿講這個人的生時日月, 伊今年二十九歲, 是三月十五未時生的.	NULL	邱罔舍第一部
166	41	111	舍	擱講允M, 二十九歲, 三月十五未時生的. 攏有聽見啊 [ee]? 這個看了有真贅人要看, 今對這個先算吧......	NULL	邱罔舍第一部
167	41	112	甲	是喲, 我看的......是安呢......	NULL	邱罔舍第一部
168	41	112	甲	按命理推斷, 貴造命運還沒較好的啊, 今年二十九歲, 明年三十, 這兩年平平, 三十丹雂T十五, 五年大運, 財也喜也, 無從心所欲者也, 三十六至四十財神九庫, 官運亨通......	NULL	邱罔舍第一部
169	41	112	甲	......晚年兒孫成群, 快樂無窮, 大壽應該有八十五歲, 若積陰德, 做好事會加添十年......	NULL	邱罔舍第一部
170	41	112	乙	看命, 應該要照命理斷, 突正主人也有講啊, 好的講好, 不好的講不妨, 這正是實在的相命. 據我推算, 按伊的生時日月講, 這個的命是真硬噢! 這個人, 自小漢著愛無父無母, 不是剋母就是剋父, 無定著父母都攏滯的也無可定,	NULL	邱罔舍第一部
171	41	113	乙	看這個命, 這個人雖然是聰明人, 卻合平常人無同款, 做事固執, 仄N孤行, 財庫空虛, 將來會亡家破產, 所以應該要修養, 積陰德; 若無啊, 這個人的生命恐驚無賴長......	NULL	邱罔舍第一部
172	41	113	乙	嘿! 你安怎拍我? 你家己算不著, 這是真見笑, 我無拍你, 你煞先拍我!	NULL	邱罔舍第一部
173	41	113	丙	唉: 啊你安怎拍我? 隻 (tsia2) 無道理!	NULL	邱罔舍第一部
174	47	116	伯	蒙的......	NULL	邱罔舍第一部
175	47	116	舍	阿伯, 你來, 請坐.	NULL	邱罔舍第一部
176	47	116	伯	蒙的, 你近來...越蒙起無款啊, 你知影莫, 大家都來找我, 講你蒙得無天無地......	NULL	邱罔舍第一部
177	47	116	舍	阿伯, 我要將會蒙人? 彼也著成冤枉啊.	NULL	邱罔舍第一部
178	47	117	伯	全莊的人都罵你, 都講你不著......	NULL	邱罔舍第一部
179	47	117	舍	阿伯, 我不知影 to7 位仔不著, 若是有啥貨仔不著, 請給我講, 我的確會改......	NULL	邱罔舍第一部
180	47	117	伯	你啊......全莊的人都講你蒙人......蒙到慘叮噹?......你...到底是安怎蒙?	NULL	邱罔舍第一部
181	47	117	舍	阿伯, 我實在 bue7 啦, 也麼 bue7 曉講......	NULL	邱罔舍第一部
182	47	117	伯	我也想 bue7 曉得, 你安怎蒙, 你蒙五?(e5) 給我看看好莫?	NULL	邱罔舍第一部
183	47	117	舍	嘿我不敢, 我那敢蒙阿伯!	NULL	邱罔舍第一部
184	47	117	伯	無要緊, 這滿先准你蒙中U, 哈哈哈!	NULL	邱罔舍第一部
185	47	117	舍	mai3 [aa], 阿伯不要(mai3) 啦, 安呢不好!	NULL	邱罔舍第一部
186	47	117	伯	bue7 用的! 你要(ai2) 蒙給我看中U, 正會用的, 若無我不知影你蒙人安怎蒙......	NULL	邱罔舍第一部
187	47	118	舍	阿伯的命令......	NULL	邱罔舍第一部
188	47	118	伯	著! 阿伯叫你蒙, 你蒙無要緊! 哈哈哈	NULL	邱罔舍第一部
189	47	118	舍	恐驚會得罪阿伯......	NULL	邱罔舍第一部
190	47	118	伯	bue7 bue7, 是我叫你的, 你就是給我蒙到安怎, 我麼 bue7 受氣, 我 bue7 罵你, 哈哈哈!	NULL	邱罔舍第一部
191	47	118	舍	若安呢......	NULL	邱罔舍第一部
192	47	118	伯	若安呢, 就來哥......	NULL	邱罔舍第一部
193	47	118	舍	我愛二, 三項目......	NULL	邱罔舍第一部
194	47	118	伯	好好, 做你講, 要啥?	NULL	邱罔舍第一部
195	47	118	舍	第仄R五荅M爐, 魁扇, 茶杯......	NULL	邱罔舍第一部
196	47	118	伯	哈哈哈! 這攏容易! 還 (iau2) 呢?	NULL	邱罔舍第一部
197	47	118	舍	還過再六潀炟抶?	NULL	邱罔舍第一部
198	47	118	伯	呵! 這六月天, 要 (ai2) 羊羔裘? 心適! 還要啥?	NULL	邱罔舍第一部
199	47	118	舍	"夠再什?(tsia2) ""交椅"", 安呢都攏夠額啦!"	NULL	邱罔舍第一部
200	47	118	伯	安呢都攏有啊? 彼不較快, 羊羔裘我去提, 春的 (e7) 你叫佣人去備辦就好, 啊, 嘻! 心適, 看你變啥貨仔把戲!	NULL	邱罔舍第一部
201	48	119	伯	蒙的提來啊! 要創啥?	NULL	邱罔舍第一部
202	48	119	舍	好好, 乎我!	NULL	邱罔舍第一部
203	48	119	舍	來來! 交椅 [dd] 滯這兒.	NULL	邱罔舍第一部
204	48	120	舍	阿伯, 啊無, 你來坐滯這兒 (tua2 tsia7) 看, 這有樹蔭較涼.	NULL	邱罔舍第一部
205	48	120	伯	好好! 我來坐滯這兒看你蒙.	NULL	邱罔舍第一部
206	48	120	伯	蒙的, 你今要蒙未?	NULL	邱罔舍第一部
207	48	120	舍	要要, 我先泡云M茶乎你食.	NULL	邱罔舍第一部
208	48	120	伯	不免啦! 你較緊咧較有影!	NULL	邱罔舍第一部
209	48	120	舍	好好, 隨時來.	NULL	邱罔舍第一部
210	48	120	舍	著著著, 我煞來記得, 你穿這咧!	NULL	邱罔舍第一部
211	48	120	伯	啥貨這麼熱, 我那穿會朝? 啊! 就用安呢要蒙我?	NULL	邱罔舍第一部
212	48	120	舍	不是啦, 你沒愛信, 我都沒愛做.	NULL	邱罔舍第一部
213	48	120	伯	好好, 我穿, 我穿, 來來!	NULL	邱罔舍第一部
214	48	120	舍	著啦! 阿伯你叫我蒙, 抑你不穿這個叫我要安怎蒙?	NULL	邱罔舍第一部
215	48	120	伯	呵安呢咯, 較緊咧噢, 若無, 穿這個太熱!	NULL	邱罔舍第一部
216	48	121	舍	好好, 隨時來, 沒......你坐中U, 我隨時來......	NULL	邱罔舍第一部
217	52	122	伯	蒙的啊! 你的創啥貨? 走 tai1 去?	NULL	邱罔舍第一部
218	52	122	舍	喔! 滯這兒, 來囉! 阿伯要創啥貨?	NULL	邱罔舍第一部
219	52	123	伯	你蒙啥貨? 你講要蒙, 干單叫我滯這兒曝日!	NULL	邱罔舍第一部
220	52	123	舍	[ff] 啊這安呢; 人突正要蒙. 你突睏去. 我煞不敢給你叫, 你睏去, 我要蒙乎誰看? 抑今嘴乾 (ta1) 呵?	NULL	邱罔舍第一部
221	52	123	舍	阿伯沒今請你先飲茶.	NULL	邱罔舍第一部
222	52	123	舍	你坐咧, 過再來倒云M.	NULL	邱罔舍第一部
223	52	124	伯	我不飲啊, 也沒愛看! 蒙也啥 (sua1) 有這款咧?	NULL	邱罔舍第一部
224	52	124	舍	咳! 我突正要蒙中U上心適的給你看, 你煞沒愛看.	NULL	邱罔舍第一部
225	52	124	伯	要滯 to7 位蒙?	NULL	邱罔舍第一部
226	52	124	舍	你坐咧, bue7 講的心適, 你看直彼去, 正心適.	NULL	邱罔舍第一部
227	52	124	伯	蒙的滯 to7?	NULL	邱罔舍第一部
228	52	124	聲	滯這兒 (tsia1)	NULL	邱罔舍第一部
229	52	124	伯	蒙的滯 to7?	NULL	邱罔舍第一部
230	52	124	聲	滯這兒 (tsia1)	NULL	邱罔舍第一部
231	55	126	舍	嚶嚶, 阿伯你怎樣拍我啦?	NULL	邱罔舍第一部
232	55	126	伯	拍你都著, 拍你都著, 你安怎這款的?	NULL	邱罔舍第一部
233	55	126	舍	伊伊伊! 阿伯你煞未記得, 敢不是你叫我蒙的, 你家己講不罵我啊, 你煞拍我?	NULL	邱罔舍第一部
234	55	126	伯	[ff] 原來是安呢呵, 乎你蒙到 (ka1) 煞未記得......	NULL	邱罔舍第一部
235	56	127	舍	三叔, 請坐, 這 (tsia2) 晚你正來?	NULL	邱罔舍第一部
236	56	127	叔	你這個囝仔正濫撒來, 你阿伯險險仔著乎你蒙死去, 哈哈哈!	NULL	邱罔舍第一部
237	56	127	叔	ㄝ, ㄝ, ㄝ, 蒙的, 我有丰顙Q要愛你給我投相幫 (saN7 kang7).	NULL	邱罔舍第一部
238	56	127	舍	啥貨仔大誌?	NULL	邱罔舍第一部
239	56	127	舍	是安怎? 請您講啦, 若是我做會到的事......	NULL	邱罔舍第一部
240	56	127	叔	"咳! 講起來恐驚你會笑, 古人有的講 ""不孝有三, 無後為大"" 我驚去負這個不孝的大罪, 幾啊滿合你三嬸磋商, 她總是不肯答應我......"	NULL	邱罔舍第一部
241	56	127	舍	原來是這麼 (tsia2 ni7) 小可仔的大誌......	NULL	邱罔舍第一部
242	56	128	叔	憨囝仔你, 這不是小可仔大誌......我合你三嬸吵吵鬧鬧, 已經吵了十幾年啊, 吵到今, 都還未好勢, 你煞講是小可仔大誌!	NULL	邱罔舍第一部
243	56	128	舍	總講, 三叔你的意思, 就是要過娶五茈J小姨來生子, 阮三嬸攏不肯答應. 你要愛我投相幫, 敢不是安呢?	NULL	邱罔舍第一部
244	56	128	叔	噯! 你真聰明, 人講你聰明真正有影.	NULL	邱罔舍第一部
245	56	128	舍	這敢不是真小仔大誌? 請你不要煩惱, 三日內包你會好勢.	NULL	邱罔舍第一部
246	56	128	叔	有影是莫? 你不要蒙我噢啊!	NULL	邱罔舍第一部
247	56	128	舍	bue7 啦! 這件大誌易如反掌, 不過......	NULL	邱罔舍第一部
248	56	128	叔	不過安怎?	NULL	邱罔舍第一部
249	56	128	舍	不過在這三日內, 我無論做啥貨仔大誌, 你都 bue7 用得罵我, 責備我呵!	NULL	邱罔舍第一部
250	56	128	叔	這當然, 若做會成功, 我不但 bue7 責備你, 顛倒要感謝你正著, 哈哈哈......	NULL	邱罔舍第一部
251	56	129	舍	你放心......	NULL	邱罔舍第一部
252	56	129	叔	好好, 我相信你, 若安呢, 我要來去囉......	NULL	邱罔舍第一部
253	56	129	舍	正擱來坐......	NULL	邱罔舍第一部
254	58	130	嬸	蒙的, 你的創啥貨?	NULL	邱罔舍第一部
255	60	130	嬸	你看蒙的在創啥貨, 安怎自昨央起不時來咱們這兒量來量去?	NULL	邱罔舍第一部
256	60	131	婢	不知呢? 正奇怪, 我也問伊, 伊也不講, 顛倒要罵人呢!......	NULL	邱罔舍第一部
257	63	132	嬸	啥仔, 你這個小鬼你, 你在創啥貨?	NULL	邱罔舍第一部
258	63	132	舍	量我的厝 [bb].	NULL	邱罔舍第一部
259	63	133	嬸	厝敢你的? 安怎講你的?	NULL	邱罔舍第一部
260	63	133	舍	講啥? 厝敢是您厝帶來的囉?	NULL	邱罔舍第一部
261	63	133	嬸	不是阮厝帶來的, 麼不是你的, 是你三叔的!	NULL	邱罔舍第一部
262	63	133	舍	講啥! 阮三叔的! 阮三叔的敢不是我的? 阮阿伯沒子, 阮阿叔也沒子, 三房蔭我中H, 阮阿叔若死去, 敢不是變我的, 將來要給你滯, 不給你滯, 權在我手裡, 你過加講話.	NULL	邱罔舍第一部
