type,pos,釋義1
三八,VH,【形】傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。例：三八人　sam-pat lâng(傻氣不正經的人)。
三國,Nd,
三地門鄉,Nc,屏東縣行政區(附錄－地名－臺灣縣市行政區名)
三太子,Nb,【名】即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。
三層,Na,五花肉。見【三層肉】sam-tsân-bah 條。
三層肉,Na,【名】五花肉。指肥瘦夾雜的豬肉。例：這過買的三層肉真好食。Tsit-kuè bé--ê sam-tsân-bah tsin hó-tsia̍h. (這次買的五花肉真好吃。)　
三山國王,Nb,【名】廣東省潮州的明山、獨山及中山三座山的山神總稱。後來人民遷徙臺灣，在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。
三心兩意,VH,【熟】形容猶豫不決，意志不堅。例：你做代誌毋通三心兩意。Lí tsò tāi-tsì m̄-thang sam-sim-lióng-ì. (你做事情不要猶豫不決。)　
三思,VA,【動】謹慎、仔細的考慮。例：三思而後行。Sàm-su jî hiō hîng. 　
三教,Na,【名】佛、儒、道三教的合稱。例：三教九流　sam-kàu-kiú-liû。
三星鄉,Nc,宜蘭縣行政區(附錄－地名－臺灣縣市行政區名)
三更,Nd,【時】子時、中夜。指夜間十一時至隔天凌晨一時。 例：三更半暝　sann-kenn-puànn-mê(三更半夜)。
三民,Nc,附錄－地名－火車線站名
三民區,Nc,高雄市行政區(附錄－地名－臺灣縣市行政區名)
三溫暖,Na,
三灣鄉,Nc,苗栗縣行政區(附錄－地名－臺灣縣市行政區名)
三牲,Na,【名】本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。例：年節時仔愛攢三牲來拜拜。Nî-tseh-sî-á ài tshuân sam-sing lâi pài-pài. (過年過節要準備祭品來祭拜神明。)　
三界公,Nb,【名】三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。
三絃,Na,【名】樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。
三義,Nc,附錄－地名－火車線站名
三義鄉,Nc,苗栗縣行政區(附錄－地名－臺灣縣市行政區名)
三角,Na,1.【名】三角形。
三角褲,Na,【名】一種三角樣式的貼身內褲。
三貂嶺,Nc,附錄－地名－火車線站名
三軍,Na,
三輪車,Na,【名】車子的一種，前為一輪，後為兩輪的車子，可用來作交通工具，或是小孩的遊戲車。
三通,VA,
三重,Nc,附錄－地名－臺北捷運新莊線站名
三重埔,Nc,新北市三重(附錄－地名－舊地名)
三長兩短,Na,【形】指意外不測、變故，多指死亡。例：你若是有啥物三長兩短，叫我欲按怎活落去？Lí nā-sī ū siánn-mih sann-tn̂g-nn̄g-té, kiò guá beh án-tsuánn ua̍h--lo̍h-khì? (你如果有何不測，叫我要怎麼活下去？)　
上,VJ,
上下,VCL,
上任,VH,【動】就職。擔任職務。例：伊明仔載欲上任矣。I bîn-á-tsài beh tsiūnn-jīm--ah. (他明天要就職了。)　
上元,Nd,元宵節。見【元宵】Guân-siau 條。
上升,VA,
上午,Nd,【時】清晨到中午之間。
上台,VA,
上坪溪,Nc,附錄－地名－溪川名
上場,VA,
上天,Na,【名】上蒼。對具有無窮力量的天或是天上神明的總稱。例：請上天保庇咱臺灣會當安定佮富裕。Tshiánn siōng-thian pó-pì lán Tâi-uân ē-tàng an-tīng kah hù-jū. (請上蒼保佑我們臺灣能夠安定和富裕。)　
上好,VC,1.【形】最好、最佳的表現。例：彼个唱歌唱了上好的人，是阮姊仔。Hit ê tshiùnn kua tshiùnn liáu siōng hó ê lâng, sī guán tsí--á. (那個唱歌唱得最好的人，就是我姐姐。)　
上學,VA,
上官,VA,附錄－百家姓
上將,Na,
上山,VA,【動】登山、爬山。例：頂禮拜阮一陣人上山去看風景。Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong-kíng. (上個禮拜我們一群人登山去看風景。)　[近]山
上岸,VA,
上市,VH,【動】物品、股票等開始在市場上發售或買賣。例：股票上市　kóo-phiò tsiūnn-tshī。
上帝,Na,【名】傳說中創造萬物的神祇。
上師,Na,
上手,VA,1.【副】對技術或工作已掌握熟練，駕馭自如。例：彼項工夫伊已經學上手矣。Hit hāng kang-hu i í-king o̍h tsiūnn-tshiú--ah. (那項技術他已熟練了。)　
上校,Na,
上桌,VA,1.【動】指客人赴宴就席。 例：來來來！逐家上桌食飯。Lâi lâi-lâi! Ta̍k-ke tsiūnn-toh tsia̍h-pn̄g. (來來來！大家一起過來吃飯。)　
上櫃,VH,
上水,Nc,【動】從水井裡取水上來。例：彼口井敢閣有咧上水？Hit kháu tsénn kám koh ū teh tshiūnn-tsuí? (那口井還有人在取水嗎？)　
上班,VA,
上班日,Nd,
上等,VH,【形】最高等級或最優異的品等。例：上等料理　siōng-tíng liāu-lí。
上網,VA,
上緊,VC,【副】最快。例：這上緊嘛著愛到後日才會好。Tse siōng kín mā tio̍h-ài kàu āu--ji̍t tsiah-ē hó. (這最快也要到後天才能完成。)　
上聲,Na,【名】漢語的調類之一。在現代國音音系中為第三聲，注音符號用「ˇ」來表示。臺羅音標系統中，調號為「2」的字音就是上聲調。
上色,VA,
上蒼,Na,
上蓋,VB,【副】非常、最。例：上蓋媠　siōng-kài suí(最漂亮)、上蓋好　siōng-kài hó(最好)、上蓋𠢕　siōng-kài gâu(最厲害)。
上訴,VC,【動】原意是指向神明、官府、上級陳述。現在多指法律上不服下級法院的判決，轉而向上一級法院提出訴訟，請求改判。
上課,VA,1.【動】授課、教課。老師教導學生。例：老師當咧課堂上課。Lāu-su tng teh khò-tn̂g siōng-khò. (老師正在教室裡面授課。)　
上路,VA,
上車,VA,
上頭,Ncd,
下,VJ,
下令,VE,
下午,Nd,【時】中午過後的時間，指中午十二點到黃昏前的一段時間。
下台,VA,
下垂,VH,
下場,VA,
下層,Nc,
下山,VA,【動】常用在戲曲的對白，指修行人要離開修行的地點。例：我欲準備下山矣。Guá beh tsún-pī hā-san--ah. (我要準備下山了。)　
下手,VA,1.【名】商業活動中買進貨物的人。
下擺,Na,【副】下次、下回。例：我下擺毋敢矣！Guá ē-pái m̄ kánn--ah! (我下次不敢了！)　
下旬,Nd,
下毒,VA,
下水,VA,【名】內臟。雞、鴨等禽類動物的內臟。例：下水湯　hā-suí thng(用禽類動物內臟煮成的湯)。
下沿,Na,
下班,VA,
下等,A,
下落,VA,【名】去向、去處。例：下落不明　hē-lo̍h put bîng(不知去向)。
下課,VH,
下載,VC,
下鄉,VA,
下降,VA,
下面,Ncd,
下頦,Na,【名】下巴。臉部嘴脣以下的部位。例：下頦尖尖　ē-hâi tsiam-tsiam(下巴尖尖的)。
下頭,Ncd,
下頷,Na,
下顎,Na,【名】下巴。一般稱「下巴」為「下頦」(ē-hâi)，「下顎」多在面相當中使用。例：男天平，女下顎。Lâm thian-pîng, lí ē-kok. (看面相時，男性要看額頭，女性要看下巴。)　
下風,Na,
不,T,
不三不四,VH,【形】不正經、不像樣、不倫不類。例：毋通交不三不四的朋友。M̄-thang kau put-sam-put-sù ê pîng-iú. (不要結交不正經的朋友。)　
不仁,VH,【形】不厚道、不仁慈，沒有慈愛之心。例：貓的奸臣，鬍的不仁。Niau--ê kan-sîn, hôo--ê put-jîn. (麻臉的人必奸，滿臉鬍子的人不仁厚。)　
不但,D,【連】不只。表示前一句話尚未完結，還有承接下面的語意。例：伊不但寄付錢，閣去做義工。I put-tān kià-hù tsînn, koh khì tsò gī-kang. (他不只捐錢，還去當義工。)　
不便,VH,
不再,VH,
不准,VE,
不利,VK,
不動產,Na,【名】泛指土地及附著於土地上的定著物和改良物。
不只,Da,
不可,VH,
不可思議,VH,
不如,VJ,
不孕,VH,
不孝,VH,【形】對長輩不孝順。例：伊真不孝。I tsin put-hàu. (他很不孝順。)；不孝囝　put-hàu kiánn(不孝子)。
不孝子,Na,
不安,VH,
不宜,VL,
不實,VH,
不平,VH,
不幸,VH,
不得,VH,
不得了,VH,1.【形】了不得。形容狀況嚴重。例：少年人毋通食毒，若無，代誌會不得了。Siàu-liân-lâng m̄-thang tsia̍h to̍k, nā-bô, tāi-tsì ē put-tik-liáu. (年輕人不要去吸食毒品，不然會很嚴重。)　
不得已,VH,【形】無可奈何、不得不如此。例：我會按呢做攏是不得已的。Guá ē án-ne tsò lóng sī put-tik-í--ê. (我會這樣做都是不得已的。)　
不才,VH,【名】第一人稱的自謙之詞。也就是「我」的意思。
不敢當,VH,【熟】謙讓之詞，表示承受不起、不敢接受。
不斷,VH,
不明,VK,
不時,D,【副】隨時、經常。無論什麼時候。例：伊不時嘛咧讀冊。I put-sî mā teh tha̍k-tsheh. (她經常在讀書。)　
不服,VK,【動】心裡不服氣、不甘心。例：伊做𤆬頭的，有誠濟人不服。I tsò tshuā-thâu--ê, ū tsiânn tsē lâng put-ho̍k. (他當帶頭的，有很多人不服。)　
不止,VJ,【副】超出某一特定的範圍或數目。例：這領洋裝不止五千箍。Tsit niá iûnn-tsong put-tsí gōo-tshing khoo. (這件洋裝不只是五千元而已。)　
不比,VJ,
不法,A,【形】不守法、違法。違反法律的意圖或者行為。例：不法之徒　put-huat tsi tôo(違反法律規範的人)。
不滿,VK,【名】不符合心意。例：你有啥物不滿，做你講出來。Lí ū siánn-mih put-buán, tsò lí kóng--tshut-lâi. (你有什麼不滿，儘管說出來。)　
不盡,VH,
不知不覺,D,
不等,VH,
不答不七,VH,【形】不三不四、不像樣。例：你莫見講攏是一寡不答不七的話。Lí mài kiàn kóng lóng sī tsi̍t-kuá put-tap-put-tshit ê uē. (你別老說一些不三不四的話。)　
不管,Cbb,
不義,VH,【形】不合道德的行為。例：不義之財　put-gī tsi tsâi。
不肖,VH,
不肖子,Na,
不良,VH,
不解,VK,
不論,Cbb,
不變,VH,
不足,VH,
不過,Dfb,
丑,Nd,1.【名】地支的第二位。例：丑時　thiú-sî(凌晨一點到三點)。
且,D,
且慢,VH,【副】意指暫且停住、稍等一下。通常用在句首作發語詞。若唸作tshé-bān，則屬於戲文上的唸法。例：且慢一下　tshiánn-bān--tsi̍t-ē(等一下)。
世,Nc,1.【名】三十年為一世，常引申為一生。例：一世人　tsi̍t-sì-lâng(一輩子)。[近]生
世上,Nc,
世事,Na,1.【名】世間的種種事情。例：世事亂紛紛。Sè-sū luān hun-hun. (人間的事很煩擾。)　
世人,Na,
世代,Na,1.【名】朝代、年代。
世俗,Na,1.【名】社會上流傳的風俗習慣。
世家,Na,
世情,Na,【名】世故、世態人生。指一切關於生活上的事務。例：出家人著愛看破世情。Tshut-ke-lâng tio̍h-ài khuànn-phuà sè-tsîng. (出家人必須要看破世間瑣事。)　
世界,Nc,1.【名】指地球上所有的地方或國家。
世紀,Nd,【量】計算年代的單位。歐美各國以耶穌降生的那年為紀元，每經一百年為一世紀。
世運,Na,附錄－地名－高雄捷運紅線站名
世間,Nc,【名】世界上。
世間人,Na,【名】世人。例：世間人攏真自私，干焦知影顧家己的利益。Sè-kan-lâng lóng tsin tsū-su, kan-na tsai-iánn kòo ka-kī ê lī-ik. (世人都自私，只知道顧自己的利益。)　
丘,Nb,附錄－百家姓
丙,Neu,
丟,VH,
並,D,1.【動】比較。例：相比並　sio pí-phīng(相互比較)。
並且,Cbb,
中,VJ,1.【動】考上、獲得。例：中狀元　tiòng tsiōng-guân(考上狀元)、中大獎　tiòng tuā tsióng。
中傷,VC,【動】惡意攻擊或陷害他人。
中元,Nd,【名】中元節。我國傳統民俗節日之一。農曆七月十五日，在這一天除了要參加廟裡為孤魂野鬼所舉辦的普渡之外，也會準備豐盛的飯菜在自家門口祭拜好兄弟，俗稱「拜門口」(pài mn̂g-kháu)。傳說如果供品太少或飯菜不夠豐盛就會遭到好兄弟的報復，所以中元節是一年之中祭品最多的節日。
中區,Nc,
中南海,Nc,
中南美,Nc,
中南部,Ncd,
中原,Nc,
中古,Nd,1.【形】半新不舊。例：中古車　tiong-kóo tshia。[反]全新
中和,VC,1.【形】公正和平。
中國,VH,
中型,Na,
中埔鄉,Nc,嘉義縣行政區(附錄－地名－臺灣縣市行政區名)
中壢,Nc,附錄－地名－火車線站名
中央,Ncd,
中央山脈,Nc,附錄－地名－山脈名
中學,Nc,【名】指實施中等教育的學校，程度介於小學和大學之間，舊分初高兩級，期限各三年，今初級中學已經劃入國民中小學九年一貫的教育範疇內。
中寮鄉,Nc,南投縣行政區(附錄－地名－臺灣縣市行政區名)
中山,Nc,附錄－地名－臺北捷運淡水線站名
中山區,Nc,基隆市行政區(附錄－地名－臺灣縣市行政區名)
中年,Na,
中式,A,
中心,Nc,1.【名】正中央的位置。
中性,VH,
中意,VJ,【動】合人心意。例：就算講你無中意，阮嘛無法度。Tō sǹg kóng lí bô tìng-ì, guán mā bô-huat-tōo. (就算你不滿意，我們也沒辦法。)　
中指,Na,【名】第三根手指頭。
中文,Na,
中旬,Nd,【時】每月當中的十一日至二十日。
中期,Nd,
中校,Na,
中樞,Na,
中止,VHC,
中正,VH,
中正區,Nc,基隆市行政區(附錄－地名－臺灣縣市行政區名)
中毒,VH,【動】有害的物質進入人體或動物體內，造成生物體機能障礙或死亡。
中油,Nc,
中洲,Nc,附錄－地名－火車線站名
中港溪,Nc,附錄－地名－溪川名
中獎,VH,
中生代,Na,
中用,VH,1.【形】物品很好使用，容易使用。
中研院,Nc,
中秋,Nd,【名】中秋節、八月節。我國傳統民俗節日之一。農曆八月十五日，與春節、端午節並列為民間三大傳統節日。通常這天全家會團聚在一起吃月餅、吃柚子、賞月。
中秋節,Nd,見【中秋】Tiong-tshiu 條。
中立,VH,【動】不偏袒。例：伊講欲中立，兩爿攏無愛參加。I kóng beh tiong-li̍p, nn̄g pîng lóng bô-ài tsham-ka. (他說要中立，兩邊都不參加。)　
中等,Na,【形】不高不低、普通的程度。例：伊的成績中等，毋是蓋䆀。I ê sîng-tsik tiong-tíng, m̄-sī kài bái. (他的成績中等，不會太差。)　
中美,Nc,
中興,VH,
中藥,Na,
中藥店,Nc,
中西,Nc,
中西區,Nc,臺南市行政區(附錄－地名－臺灣縣市行政區名)
中計,VH,【動】中圈套。落入計謀、圈套；遭人暗算。例：伊咧騙你，你毋通中計。I teh phiàn--lí, lí m̄-thang tiòng-kè. (他在騙你，你不要落入圈套。)　
中途,Nc,1.【名】半路、半途。路途之中。例：我行到中途就拄著伊矣。Guá kiânn kàu tiong-tôo tō tú-tio̍h i--ah. (我走到半路就遇見他了。)　
中選,VH,
中選會,Nc,
中部,Ncd,
中醫,Na,1.【名】中國傳統的醫學。
中鋒,Na,
中間,Ng,【位】指某一時間或事件發展的過程中的一部分。
中音,Na,
中風,VH,【名】腦溢血、腦中風。病名。因腦血管硬化、破裂，造成腦內出血，壓迫到腦神經。往往會使病人昏迷、死亡或肢體麻木、言語行動不便。
串,VC,1.【動】使二者連貫起來。例：串通　tshuàn-thong。
串聯,VC,
串通,VC,【動】彼此暗中勾結，讓言辭、行動能互相配合。例：恁兩个千萬毋通串通害人。Lín nn̄g ê tshian-bān m̄-thang tshuàn-thong hāi--lâng. (你們兩個千萬不要串通害人。)　
丸,Nf,1.【名】又小又圓的物體。例：魚丸　hî-uân(魚肉製成的小丸子)。[近]丸仔
丹,Nc,1.【名】精煉的藥劑。例：藥丹　io̍h-tan、煉丹　liān tan。
丹毒,Na,【名】病名。一種散播性鏈球菌所引起的組織炎及淋巴管炎。患部皮膚紅腫、疼痛、易蔓延，多半引起高燒、淋巴腺腫及腦膜炎等併發症。
丹田,Nc,【名】指人肚臍下面一寸半或三寸的地方。例：丹田無力　tan-tiân bô la̍t(氣虛)。
主,VH,1.【名】領導的人。例：一家之主　it ka tsi tsú。
主人,Na,1.【名】擺設宴席款待賓客的人。
主任,Na,【名】機關部門中，主持某事並負全部責任的人。
主力,VH,
主動,VH,【形】按照自己的行為意識來行動。例：主動的態度佮拍拚的精神是做人成功的基本條件。Tsú-tōng ê thāi-tōo kah phah-piànn ê tsing-sîn sī tsò-lâng sîng-kong ê ki-pún tiâu-kiānn. (主動的態度和奮鬥的精神是做人成功的基本條件。)　
主唱,VC,
主因,P,
主委,Na,
主婦,Na,【名】家庭中的女主人。
主宰,VC,
主將,Na,
主導,VC,
主席,Na,1.【名】主持會議進行並維持秩序的人。
主張,VE,1.【名】自我對於事物的主觀性見解或看法。例：你對這件代誌有啥物主張？Lí tuì tsit kiānn tāi-tsì ū siánn-mih tsú-tiunn? (你對這件事情有什麼看法？)　
主意,Na,1.【動】做主。出面負責裁決。例：這層代誌予你主意就好。Tsit tsân tāi-tsì hōo lí tsú-ì tō hó. (這件事情由你做主就可以了。)　
主持,VC,【動】主導、管理。例：今仔日的會議由伊來主持。Kin-á-ji̍t ê huē-gī iû i lâi tsú-tshî. (今天的會議由他來主持。)　
主播,Nv,
主教,Na,
主機,Na,
主機板,Na,
主權,Na,【名】國家的組成要素之一。是國家至高無上的政治權力，對內具有排外的管轄權，對外則有不受他國干涉的權力。
主治,VB,
主流,Na,
主演,VC,
主管,VC,【名】主持事務，負責管理某一單位的人。
主編,VC,
主義,Na,【名】對事物或原理的基本主張，是一種觀念和信仰的形態，可形成一股思潮或學說。
主菜,Na,
主要,VH,【形】最重要的。例：伊做生理會當成功主要的原因就是認真拍拚。I tsò-sing-lí ē-tàng sîng-kong tsú-iàu ê guân-in tō sī jīn-tsin phah-piànn. (他經商成功主要的原因就是認真努力。)　
主見,Na,【名】意志確定的見解或看法。
主觀,VH,
主角,Na,1.【名】文藝作品或戲劇、電影等表演中的主要角色。
主講,VE,
主辦,VC,【動】主持辦理。
主題,Na,
主顧,Na,【名】購買商品的主要顧客。
主顧客,Na,
主食,Na,
主體,Na,
久,VH,
久久,VH,【副】經過一段相當長久的時間。例：伊久久才來一擺。I kú-kú tsiah lâi tsi̍t pái. (他相隔很久才來一次。)　
久仰,VJ,【動】非常仰慕、仰慕很久了。是人際交往時初次見面的客套話。
久病,VH,
久長,VH,【形】長久。時間長遠悠久。例：我看兩个，會做伙嘛袂久長。Guá khuànn in nn̄g ê, ē tsò-hué mā bē kú-tn̂g. (我看他們兩個，就算會在一起也不會長久。)　
之,VCL,【介】的，表示所屬或關連性，比較文言的用法。例：人之初　jîn tsi tshoo(人生的開始。三字經的首句。)　
之中,Ng,
之外,Ng,
之間,Ng,
乍,VC,【動】炸、過油。將食物以熱油稍微炸一下。例：糋好的芋仔糋欲食進前愛閣乍一下。Tsìnn hó ê ōo-á-tsìnn beh tsia̍h tsìn-tsîng ài koh tsànn--tsi̍t-ē. (炸好的芋頭要吃之前得先過油再稍微炸一下。)　
乎,VD,1.【助】反問語助詞，表示與問話者確認的語氣。例：你今仔日欲出去𨑨迌乎？Lí kin-á-ji̍t beh tshut-khì tshit-thô--honnh? (你今天要出去玩對吧？)　
乏,VJ,
乖,VH,1.【形】形容懂事、順從。例：乖巧　kuai-khá。[近]乖巧
乖巧,VH,【形】形容人聰明伶俐，討人喜歡。例：這个囡仔真乖巧。Tsit ê gín-á tsin kuai-khá. (這個孩子聰明伶俐，討人喜歡。)　
乘,VJ,
乙,Nh,1.【名】天干的第二位。例：甲乙丙丁　kah it piánn ting。
乜,VC,
九,Neu,附錄－百家姓
九份二山,Nc,附錄－地名－山脈名
九孔,Na,【名】貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。
九層塔,Na,【名】草本植物，脣形科羅勒屬。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。例：用九層塔煎卵真好食。Iōng káu-tsàn-thah tsian nn̄g tsin hó tsia̍h. (用九層塔煎蛋很好吃。)　
九曲堂,Nc,附錄－地名－火車線站名
九泉,Nc,
九芎林,Nc,新竹縣芎林(附錄－地名－舊地名)
乞,VC,【動】向別人求討東西。例：乞符仔　khit hû-á(向道士求討符咒)、乞雨　khit hōo(求雨)。
乞食,VB,【名】乞丐、叫花子。靠要錢、要飯過活的人。例：人若肯拍拚，乞食也會出頭天。Lâng nā khíng phah-piànn, khit-tsia̍h iā ē tshut-thâu-thinn. (人只要肯努力，連乞丐也會出人頭地。)　
也,T,【副】亦。表示相同關係。例：這項物件有也好，無也好，攏無要緊。Tsit hāng mi̍h-kiānn ū iā hó, bô iā hó, lóng bô-iàu-kín. (這個東西可有可無，都沒關係。)　
也好,T,【副】也好、也行。例：有也好，無也好。Ū iā hó, bô iā hó. (有也好，沒有也好。)　
也是,D,1.【副】還是、也是。例：你閣按怎講，伊也是聽袂入耳。Lí koh án-tsuánn kóng, i iā sī thiann bē ji̍p-ní. (你再怎麼說，他還是聽不進去。)　[近]猶是
乩,b,
乳,VC,
乳名,Na,【名】小名、奶名。
乾,VH,1.【名】術數用語。易經八卦的卦名之一，代表天、陽的意思。或是六十四卦名之一，象徵君子應自強不息，努力永不懈怠的意思。例：乾坤　khiân-khun(天地)。
乾杯,VA,
亂,VHC,
亂七八糟,VH,
亂世,Nd,【名】動盪不安的時代。
亂亂,VH,
亂來,VA,【動】胡鬧。隨便、胡為亂做。例：老爸若佇咧，伊就毋敢亂來！In lāu-pē nā tī--leh, i tō m̄-kánn luān-lâi! (如果他老爸在，他就不敢胡作非為！)　
亂彈,Na,【名】一種臺灣及閩南地區的戲曲。例：食肉食三層，看戲看亂彈。Tsia̍h bah tsia̍h sam-tsân, khuànn hì khuànn lān-thân. (吃肉吃五花肉，看戲看亂彈戲。這是指內行人才懂的享受。)　
亂源,Na,
亂碼,Na,
亂講,VE,【動】胡說。亂說話。例：飯會使烏白食，話毋通亂講！Pn̄g ē-sái oo-pe̍h tsia̍h, uē m̄-thang luān-kóng! (飯可以隨便吃，話不要胡說！)　
亂象,Na,
了,VK,1.【動】表示動作結束、完畢。或是表示動作的時間狀況。例：飯食了才食果子。Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. (飯吃完再吃水果。)　[近]了了、好、完
了不起,VH,
了了,VH,【形】全都是。表示數量多或加強語氣。例：這个袂使，彼个毋通，全你的意見了了。Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. (這個不行，那個不可以，你的意見真多。)　
了後,Nd,【時】之後。 例：你出門了後，伊就醒矣。Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. (你出去之後，他就醒了。)　
