2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
53	人	人	第1級	【替】lâng	儂	jîn/lîn			1.【名】具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。例：做牛著拖，做人著磨。Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. (做牛得要拖犁耕田，做人得受生活的折磨。)　	2.【名】人家、別人。例：莫共人講！Mài kā lâng kóng! (不要跟別人說！)；予人看無　hōo lâng khuànn-bô(讓別人瞧不起)。	3.【名】具有某種身份或特徵的人。例：好人　hó lâng、讀冊人　tha̍k-tsheh-lâng(讀書人)、中人　tiong-lâng(仲介者)。	4.【代】借稱自己。例：人毋管啦！Lâng m̄-kuán--lah! (我不管啦！)　	5.【名】與人有關的事，如人的品格、個性、身體狀況等。例：伊人真好。I lâng tsin hó. (他待人很好。)；人無爽快　lâng bô sóng-khuài(身體不舒服)。																					
54	入	進	第1*級	ji̍p/li̍p				出	1.【動】進。從外面進到裡面。例：入去　ji̍p--khì(進去)、入來　ji̍p--lâi(進來)。[反]退	2.【動】裝進。例：入被　ji̍p phuē(把被子裝進被套裡)。	3.【動】收進帳款。例：收入　siu-ji̍p、入數　ji̍p siàu(入帳)。																							
55	八	八	第1級	【文】pat		【白】peh/pueh			【數】數字。例：三八婦女節　sam pat hū-lí tseh(三八婦女節)。																									
56	八	八	第1級	【白】peh/pueh		【文】pat			【數】數字。例：八个人　peh ê lâng(八個人)。															八	pueh	pueh	pueh	peh	peh	peh	pueh	pueh	pueh	peh
59	力	力量	第5級	【白】la̍t		【文】li̍k、【替】lí	氣力		【名】力量、氣力。例：無力　bô la̍t(沒有力氣)、氣力　khuì-la̍t(力氣)。																									
60	力	作用	第5級	【文】li̍k		【白】la̍t、【替】lí			1.【名】力量、氣力。例：力量　li̍k-liōng。	2.【名】泛指一切事物所具有的效能或作用。例：財力　tsâi-li̍k、兵力　ping-li̍k。																								
61	十	十	第1級	【白】tsa̍p		【文】si̍p			1.【數】數目。例：十个人　tsa̍p ê lâng(十個人)。	2.【形】比喻很多、完全。例：十喙九尻川　tsa̍p-tshuì káu kha-tshng(人多嘴雜)。																								
62	十	十	第1級	【文】si̍p		【白】tsa̍p			1.【數】數字。例：十五音　si̍p-ngóo-im(十五音)、十八仔　si̍p-pat-á(骰子)。	2.【形】比喻完全、非常。例：十全十美　si̍p-tsuân-si̍p-bí(十分的完美)。	3.【形】像十的字形的。例：十字路　si̍p-jī-lōo(十字路口)、紅十字會　âng-si̍p-jī-huē(國際救援組織)。																							
63	卜	卜	第7級	【替】poh		pok			【動】試試看。例：卜看覓咧！Poh khuànn-māi--leh! (試試看囉！)　																									
64	卜	卜	第7級	pok		【替】poh			【動】卜卦、占卜。例：我來卜一下仔卦咧。Guá lâi pok tsi̍t-ē-á kuà--leh. (我來卜一下卦。)　																									
65	又	再	第1*級	iū			閣		【副】再、復。例：食又欲食，穡又毋做，真害！Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! (吃又要吃，工作又不肯做，真糟糕！)　																									
66	十一哥	單身漢	第7級	tsa̍p-it-ko			羅漢跤仔、獨身仔、羅漢跤		【名】單身漢。															單身漢	十一哥　tsa̍p-it-ko, 羅漢跤仔　lô-hàn-kha-á	孤𣮈的　koo-khu̍t--ê, 羅漢跤　lô-hàn-kha	十一哥　tsa̍p-it-ko, 羅漢跤仔　lô-hàn-kha-á	獨身仔　to̍k-sin-á, 羅漢跤仔　lô-hàn-kha-á	十一哥　tsa̍p-it-kor, 獨身仔　to̍k-sin-á, 羅漢跤仔　lôr-hàn-kha-á	十一哥　tsa̍p-it-kor, 獨身仔　to̍k-sin-á, 羅漢跤仔　lôr-hàn-kha-á	十一哥　tsa̍p-it-ko, 十一叔　tsa̍p-it-tsik, 孤身　koo-sin	羅漢跤　lô-hàn-kha, 十一哥　tsa̍p-it-ko	羅漢跤　lô-hàn-kha	羅漢跤仔　lô-hàn-kha-á, 十一哥　tsa̍p-it-ko
67	了了	賠錢	第7級	liáu-liáu			了		【副】光光、窮盡、完全沒有了。當作動詞補語。例：鳥鼠予貓掠了了矣。Niau-tshí hōo niau lia̍h-liáu-liáu--ah. (老鼠被貓抓光光了。)　																									
70	十二分	腳	第1級	tsa̍p-jī-hun/tsa̍p-lī-hun			足、誠		【形】非常、很。用來形容程度極深。例：十二分的感謝　tsa̍p-jī-hun ê kám-siā。																									
71	十二生相	各行各業	第5級	tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn	十二生肖				1.【名】十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。	2.【名】各行各業。例：時機誠䆀，害我十二生相變透透嘛變無撚。Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. (時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。)　																								
73	二九暝	除夕	第3*級	Jī-káu-mê/Lī-káu-mî					【名】除夕、大年夜。例：二九暝家家戶戶攏咧圍爐。Jī-káu-mê ke-ke-hōo-hōo lóng leh uî-lôo. (農曆新年除夕晚上家家戶戶都在圍爐。)　																									
77	了工	徒勞無功	第7級	liáu-kang			無彩工		【動】白費工夫。例：了工閣蝕本。Liáu-kang koh si̍h-pún. (白費工夫又賠錢。比喻賠了夫人又折兵。)　																									
78	人工	工資	第5級	lâng-kang	儂工				1.【名】人力、人手。人的勞動力或是指可以工作的人。例：割稻仔的人工愈濟就愈緊割了。Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu. (越多人割稻就越快完工。)　	2.【名】工資。從事工作所得的報酬。例：臺灣現此時的人工真貴。Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. (臺灣現在的工資很貴。)　[近]工資																								
79	人才	儀容	第7級	lâng-tsâi	儂才				【名】 外表、儀容。例：恁囝婿的人才生做袂䆀。Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. (你女婿外表長得不錯。)　																									
81	刁工	專程	第6級	thiau-kang	挑工				1.【副】專程、特地。例：我刁工來看你。Guá thiau-kang lâi khuànn--lí. (我專程來看你。)　[近]專工	2.【副】故意。例：你愈講，伊愈刁工。Lí jú kóng, i jú thiau-kang. (你越說，他越是故意和你唱反調。)　[近]刁故意、刁意故、故意[反]無張持、無細膩																								
93	人民	國民	第5級	jîn-bîn/lîn-bîn			公民		【名】百姓、國民。居住在一國家內具有應享權利與應盡義務的人。																									
94	人生	人生	第4*級	jîn-sing/lîn-sing					【名】人的一生、生命歷程。例：人生短短仔　jîn-sing té-té--ah(人生苦短)。																									
96	十全	齊全	第6級	tsa̍p-tsn̂g			完全、齊全	欠點	【形】完滿、齊全。完美無缺憾。例：媠，媠無十全；䆀，䆀無加圇。Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. (人不會是十全十美的。)　																									
100	十字架	十字架	第6級	si̍p-jī-kè/si̍p-lī-kè					【名】西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。																									
108	二步七仔	能力	第2級	--jī-pōo-tshit-á/--lī-pōo-tshit-á/--nn̄g-pōo-tshit-á	二步拭仔、兩步拭仔		才調、本事、兩步七仔		【名】本事、本領。形容人對事情有一點處理的本事、能力。例：講著種花伊閣有二步七仔！Kóng-tio̍h tsìng-hue i koh ū--jī-pōo-tshit-á! (說到種花他還有點能耐！)　																									
110	十足	十足	第5級	tsa̍p-tsiok					【形】完全、充分。例：睏飽了後，氣力十足。Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. (一覺睡醒之後，全身都充滿了活力。)　																									
112	人事	公關	第6級	jîn-sū/lîn-sū					1.【名】機關中的人員升調、獎懲、任免等事務。例：人事室　jîn-sū sik(管理機關人員的辦公處所)。	2.【名】人力。人的作為。例：盡人事順天意。Tsīn jîn-sū sūn thinn-ì. (盡人事聽天命。)　	3.【名】公關。用來送禮的物品。例：過年時仔伊會用外國酒來做人事。Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū. (過年的時候他會用外國酒來做公關。)　																							
115	二房	妾	第7級	jī-pâng/lī-pâng					【名】家族中次男的支系。例：陳家二房的囝孫仔攏真老實。Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t. (陳家二房的子孫都很老實。)　																									
117	十花五色	形形色色	第7級	tsa̍p-hue-gōo-sik			五花十色		【形】五花八門、形形色色。例：十花五色的人　tsa̍p-hue-gōo-sik ê lâng(形形色色的人)。																									
118	入門	入門	第6級	ji̍p-mn̂g/li̍p-mn̂g					1.【動】進門。例：我今仔入門，電話就來矣。Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. (我剛進門，電話就來了。)　	2.【動】婦女嫁到夫家。例：我想欲趕緊共你娶入門。Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. (我想要趕快將你娶進門。)　	3.【動】初步學會。例：學音樂，我拄入門。O̍h im-ga̍k, guá tú ji̍p-mn̂g. (學音樂，我才剛剛入門。)　	4.【名】指初階讀物，多用在書名。例：哲學入門　tiat-ha̍k ji̍p-mn̂g。																						
119	人客	顧客	第4級	lâng-kheh	儂客		客戶		【名】客人、賓客、顧客。例：咱愛好好仔招待人客。Lán ài hó-hó-á tsiau-thāi lâng-kheh. (我們要好好招呼客人。)；店內人客真濟。Tiàm-lāi lâng-kheh tsin tsē.(店裡顧客很多。)　																									
120	了後	之後	第4級	liáu-āu					【時】之後。 例：你出門了後，伊就醒矣。Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. (你出去之後，他就醒了。)　																									
122	二指	食指	第6級	jī-tsáinn/lī-tsáinn			指指		【名】食指。例：大姊昨昏二指去予玻璃幼仔割著。Tuā-tsí tsa-hng  jī-tsáinn khì hōo po-lê-iù-á kuah-tio̍h. (大姊昨天食指被碎玻璃割到。)　															食指	指指　kí-tsuínn	報路　pò-lōo	二指　lī-tsáinn, 指指　kí-tsáinn	指指　kí-tsáinn	二指　jī-tsáinn, 指指　kí-tsáinn	二指　jī-tsáinn, 指指　kí-tsáinn	指指　kí-tsái	指指　kí-tsán	二指　lī-tsáinn	指指　kí-tsáinn
123	刁持	專程	第6級	tiau-tî					1.【副】故意、存心。例：伊是刁持欲佮我做對的。I sī tiau-tî beh kah guá tsò-tuì--ê. (他是故意要和我作對的。)　[近]刁故意、刁意故、刁意[反]無張持、無細膩	2.【副】特地、特意。例：我是刁持來看你的。Guá sī tiau-tî lâi khuànn--lí--ê. (我是特別來看你的。)　[近]刁工、專工																								
124	刁故意	故意	第4級	tiau-kòo-ì	挑故意		刁意故、存心、故意	無心	【副】存心、故意。例：伊刁故意欲講予你氣。I tiau-kòo-ì beh kóng hōo lí khì. (他故意這麼說要惹你生氣。)　																									
127	人面	人頭	第6級	lâng-bīn	儂面		人頭		【名】人脈。例：伊的人面真闊，拜託伊就無毋著！I ê lâng-bīn tsin khuah, pài-thok--i tō bô-m̄-tio̍h! (他的人脈很廣，拜託他就沒錯！)　																									
128	人倫	倫理	第6級	jîn-lûn/lîn-lûn			倫理、倫常		【名】人類的倫常，人類相處的各種關係。例：這个案件是人倫悲劇。Tsit-ê àn-kiānn sī jîn-lûn pi-kio̍k. (這個案件是人倫悲劇。)　																									
129	人員	手腳	第6級	jîn-uân/lîn-uân					1.【名】擔任某種職務的人。例：公務人員　kong-bū jîn-uân。	2.【名】人數。例：阮這个單位的人員無夠，工課才會做袂完。Guán tsit-ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân. (我們這個單位的人數不足，工作才完成不了。)　[近]跤手、人手、人數																								
133	人家	住家	第5級	jîn-ke/lîn-ke					【名】住宅、民家。例：一戶人家　tsi̍t hōo jîn-ke。																									
134	人家厝仔	住家	第5級	jîn-ke-tshù-á/lîn-ke-tshù-á	人家茨仔		徛家、徛家厝		【名】民宅。																									
136	人格	品格	第6級	jîn-keh/lîn-keh			人品		【名】品格、品性。例：做人愛重人格。Tsò-lâng ài tiōng jîn-keh. (為人要注重人格。)、我用人格共你保證。Guá iōng jîn-keh kā lí pó-tsìng. (我用人格跟你保證。)　																									
139	人馬	兵馬	第6級	jîn-má/lîn-má			兵馬		【名】兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。例：兩隊人馬佇街仔路相拄。Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. (兩隊人馬在街道相遇。)　																									
140	入院	住院	第4*級	ji̍p-īnn/li̍p-īnn			蹛院		【動】住院。因為生病住進醫院就醫。例：伊昨暗入院。I tsa-àm ji̍p-īnn. (他昨晚住院。)　																									
142	人情	人情	第6級	jîn-tsîng/lîn-tsîng					1.【名】恩惠、恩情。例：做人情予伊。Tsò-jîn-tsîng hōo--i. (給他一個人情。)　	2.【名】人際關係，尤指禮尚往來。例：人在人情在。Jîn tsāi jîn-tsîng tsāi. (人在人際關係就在。)　																								
143	人情世事	公關	第6級	jîn-tsîng-sè-sū/lîn-tsîng-sè-sū			人事、人情		【熟】人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。例：人情世事有夠濟。Jîn-tsîng-sè-sū ū-kàu-tsē. (禮尚往來的事情有夠多。)　																									
146	人造	工資	第5級	jîn-tsō/lîn-tsō			人工	天然、自然	【形】由人工製造而成的。例：人造雨　jîn-tsō hōo。																									
149	入場	進場	第7級	ji̍p-tiûnn/li̍p-tiûnn					【動】進場。進入會場、試場或戲院等特定場所。例：戲園五點才會使入場。Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn. (戲院五點才能進場。)　																									
151	力量	能力	第2級	li̍k-liōng			力頭、氣力、力草		【名】力氣、能力。例：咱愛靠家己的力量拚出咱家己的前途。Lán ài khò ka-kī ê li̍k-liōng piànn tshut lán ka-kī ê tsiân-tôo.(我們要靠自己的能力拚出自己的前途。)　																									
152	刁意故	專程	第6級	thiau-ì-kòo			刁工、刁故意、存心	無張持、無細膩	【形】故意、存心。例：伊毋是刁意故的。I m̄ sī thiau-ì-kòo--ê. (他不是故意的。)　																									
155	又閣	再	第1*級	iū-koh	又更、又復、又擱				【副】又、再，表示動作或現象的重複。例：伊又閣來矣。I iū-koh lâi--ah. (他又來了。)　																									
156	人影	蹤影	第6級	lâng-iánn	儂影		影跡		【名】人的影子，也可以用來指人。例：規間厝恬恬無聲，連半个人影嘛無。Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô. (整間屋子靜悄悄的，連半個人影都沒有。)　																									
158	人範	人品	第7級	lâng-pān			人品、人款		【名】人品。指人的外在面貌或儀表。例：伊的人範袂䆀。I ê lâng-pān bē-bái. (他的人品不錯。)　																									
159	人緣	人緣	第5級	lâng-iân	儂緣		人氣		【名】與人相處時，其相貌、個性、舉止受人歡迎的狀況。例：伊真有人緣。I tsin ū-lâng-iân. (他很有人緣。)　																									
160	入學	入學	第5級	ji̍p-o̍h/li̍p-o̍h			求學		【動】開始進入學校學習、求學。例：我今年就欲入學去讀冊矣！Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! (我今年就要入學去讀書了！)　																									
163	人頭	人頭	第6級	lâng-thâu	儂頭				1.【名】人的頭部。	2.【名】人數。例：這間店是算人頭收錢的。Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. (這家商店是按人數收錢的。)　	3.【名】為了逃避法律責任所設置的負責人。例：警察掠著的是人頭，毋是真正的頭家。Kìng-tshat lia̍h-tio̍h--ê sī lâng-thâu, m̄-sī tsin-tsiànn--ê thâu-ke. (警察捉到的是人頭帳戶，而不是背後的主使者。)　																							
164	力頭	能力	第2級	la̍t-thâu			力量、氣力、力草		【名】力氣、力道。例：力頭真飽　la̍t-thâu tsin pá(力道真大)。																									
168	人權	人權	第5級	jîn-khuân/lîn-khuân					【名】人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。																									
169	丈	丈	第5級	【白】tn̄g		【文】tiōng、【白】tiūnn			【量】計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。																									
170	三	三	第1級	【文】sam		【白】sann、【文】sàm			【數】數字。例：三生有幸　sam-sing-iú-hīng。																									
171	三	三	第1級	【白】sann		【文】sam、【文】sàm			【數】數字。例：三隻狗　sann tsiah káu(三條狗)。																									
172	上	上	第1級	【白】tsiūnn		【白】tshiūnn、【文】siōng、【文】sióng、【替】siāng			1.【動】登上、爬上。例：上車　tsiūnn tshia、上山　tsiūnn-suann。	2.【動】把東西端上去。例：上桌　tsiūnn toh(把食物或其他東西端上桌)。																								
173	上	上	第1級	【白】tshiūnn		【白】tsiūnn、【文】siōng、【文】sióng、【替】siāng			1.【動】向上提吊。例：上水　tshiūnn-tsuí(從井裡頭用水桶把水打上來)。	2.【動】慢慢長出來。例：上青苔　tshiūnn tshenn-thî(長青苔)。														上	tshiǔnn	tshiūnn	tshiūnn	tshiūnn	tshiōnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn
174	上	上	第1級	【文】siōng	尚	【白】tsiūnn、【白】tshiūnn、【文】sióng、【替】siāng			1.【位】指空間位置「下」的相反。例：水面上　tsuí-bīn-siōng。[反]下、底	2.【副】極致地、最……地，有些地區音變為thōng。例：上好　siōng-hó(最好)。[近]最																								
175	下	下	第1*級	【白】ē		【文】hā、【白】hē、【替】e			1.【位】指空間位置「上」的相反。例：天跤下　thinn-kha-ē(天底下)。[反]頂	2.【量】計算短暫動作的單位。例：拍三下　phah sann ē(打三下)、驚一下　kiann tsi̍t-ē(嚇一跳)。																								
176	下	下	第1*級	【文】hā		【白】ē、【白】hē、【替】e			1.【動】結束一個時程的工作。例：下班　hā-pan、下課　hā-khò。	2.【動】宣布、公布。例：下令　hā-līng(宣布命令)。	3.【動】往底下走。例：南下　lâm hā(往南部去)。	4.【形】形容程序較為後面的，或是位階較為低等的。例：下集　hā tsi̍p、下級　hā-kip。																						
177	下	擱	第6級	【白】hē		【白】ē、【文】hā、【替】e			1.【動】放置、加進去。例：物件無位通下。Mi̍h-kiānn bô uī thang hē. (東西沒地方放。)；下鹽　hē iâm(在食物中放鹽)。[近]囥、摻	2.【動】許願。例：乞食下大願。Khit-tsia̍h hē tuā guān. (乞丐許大願。比喻人明明沒有能力，卻好高騖遠。)　																								
178	低	低	第1*級	【替】kē					【形】低、不高的。可用來形容位置、聲音、程度等等。例：懸低　kuân-kē(高低)、低音　kē-im(低音)。																									
179	个	個	第1級	ê					1.【量】個。計算單獨的人、物的單位。例：兩个人　nn̄g ê lâng(兩個人)。	2.【代】指某人事物。例：這个物件　tsit ê mi̍h-kiānn(這個東西)。																								
181	久	久	第1級	【白】kú		【文】kiú			1.【形】指時間的長久、長遠。例：伊離開真久矣。I lī-khui tsin kú--ah. (他離開很久了。)　	2.【名】表示一段經過的時間。例：等一點鐘久矣。Tán tsi̍t tiám-tsing kú--ah. (等了一小時了。)；這久　tsit-kú(現在)、彼久　hit-kú(那時候)。																								
182	么	壹	第7級	io			一		【數】最小的數字，「一」的另一種稱呼。例：么二三　io jī sann(一二三)。																									
184	也	亦	第6級	iā			嘛		【副】亦。表示相同關係。例：這項物件有也好，無也好，攏無要緊。Tsit hāng mi̍h-kiānn ū iā hó, bô iā hó, lóng bô-iàu-kín. (這個東西可有可無，都沒關係。)　																									
185	亡	過世	第5級	bông					1.【動】死、消失、滅絕。例：亡國　bông-kok。	2.【形】過世的、死去的。例：亡兄　bông-hing。	3.【名】過世的人、死去的人。例：新亡　sin-bông(新死者、剛過世的人)、傷亡　siong-bông(傷者和死者)。	4.【動】逃跑。例：流亡　liû-bông。																						
188	千	千	第1級	【文】tshian		【白】tshing			1.【數】十個百為千。	2.【形】表示很多。例：千辛萬苦　tshian-sin-bān-khóo。																								
189	千	千	第1級	【白】tshing	仟	【文】tshian			【數】十的百倍，十個百為千。例：一千箍　tsi̍t tshing khoo(一千元)。																									
191	口	口	第3級	【白】kháu		【替】káu、【文】khió			1.【名】指人的嘴巴。	2.【名】出入的要道。例：店門口　tiàm mn̂g-kháu(商店門口)。	3.【量】計算器物的單位。例：一口井　tsi̍t kháu tsénn(一口井)、一口劍　tsi̍t kháu kiàm(一把劍)。	4.【量】計算人數的單位。特指家庭的人口。例：一家口　tsi̍t ke-kháu(一家人)。	5.【量】計算戶口的單位。例：一口灶　tsi̍t kháu-tsàu(一戶)。																					
192	土	土	第4級	thóo					1.【名】土壤。亦為五行之一。例：土地　thóo-tē。	2.【形】形容人的個性粗曠率直。例：伊的人較土。I ê lâng khah thóo. (他的個性較老土。)　	3.【形】本地的、具有地方性的。例：本土　pún-thóo、土產　thóo-sán。																							
195	大	大	第1級	【文】tāi		【替】ta、【白】tuā		小	【形】指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。例：大量　tāi-liōng、大德　tāi-tik。																									
