UID	role	content	issuePageLine	book
108	NULL	一位有竹排可過、攏免涉水。	1-17-4	語苑五
109	NULL	龜仔頭庄有日本人開客店、彼著宿瞑、	1-17-5	語苑五
110	NULL	彼庄過去、攏無可宿。	1-17-6	語苑五
111	NULL	農會用語	01-18-00	語苑五
112	NULL	我今仔日要看綠肥模範田的大菜與青皮豆發了甚麼欵即來。	1-18-1	語苑五
113	NULL	今年是比舊年發了甚欵。	1-18-3	語苑五
114	NULL	大菜看見不止好、青皮豆是無甚好的欵。	1-18-4	語苑五
115	NULL	不知怎樣仔即如此啊。	1-18-5	語苑五
116	NULL	打算是雨連續落真久即如此的。	1-18-6	語苑五
117	NULL	歟如此、此去若好天不著真好。	1-18-7	語苑五
118	NULL	你打算怎樣、模範田是比平常的田有較好是否。	1-19-1	語苑五
119	NULL	是、不知怎樣、在所仰望的、無彼好。	1-19-3	語苑五
120	NULL	是、若無刈看就却尚未知影、不拘照此候來看、	1-19-4	語苑五
121	NULL	敢差不多有長二成。	1-19-5	語苑五
122	NULL	若如此不就真好。	1-19-6	語苑五
123	NULL	拐騙酒鬼	1-33	語苑五
124	NULL	在早有一個目光、尚一個青瞑、二個人攏是酒鬼、	1-33-1	語苑五
125	NULL	有一日目光的想要拐騙青瞑的酒來飲、	1-33-2	語苑五
126	NULL	就講咱公家買酒來飲好否。	1-33-3	語苑五
127	NULL	青瞑的就問伊、一人要開若多錢、尚要食的時	1-34-1	語苑五
128	NULL	著來去暗暗的所在食、我即要。	1-34-2	語苑五
129	NULL	目光的就應伊講好、一人開四角銀就好、	1-34-3	語苑五
130	NULL	買三矸正宗酒、尚買些土豆仁、講如此就隨時去店仔攜酒來、	1-34-4	語苑五
131	NULL	今來去飲。	1-34-5	語苑五
132	NULL	青瞑的講、好攜來去暗房內飲。	1-34-6	語苑五
133	NULL	三矸燒酒被青瞑的攜去房間內、	1-34-7	語苑五
134	NULL	二人雄雄用大碗直直斟直直飲。	1-34-8	語苑五
135	NULL	目光的偷想、此酒矸若是放給伊去就續加給伊飲去、	1-34-9	語苑五
136	NULL	即出力握酒矸直直斟直直飲、	1-34-10	語苑五
137	NULL	都攏無酒味、恰若水呢。	1-34-11	語苑五
138	NULL	二矸酒食到空空、喘一個大氣即講、	1-35-1	語苑五
139	NULL	我食的酒無味無素、若親像食水呢、	1-35-2	語苑五
140	NULL	我預起先去店仔沾來的正正是酒、不知怎樣仔及如此、	1-35-3	語苑五
141	NULL	真怪訝。	1-35-4	語苑五
142	NULL	青瞑的就講、我飲彼三矸攏是厚酒、	1-35-5	語苑五
143	NULL	我呌是汝不敢食呢、啊、想著了、	1-35-6	語苑五
144	NULL	汝食彼酐是水都著、我纔仔洗二支空酒矸貯水藏置此處嘮、	1-35-7	語苑五
145	NULL	我起先若知、汝此號事情	1-35-8	語苑五
146	NULL	我就沒醉到如此輪輪旋。	1-35-9	語苑五
147	NULL	日常會話	2-1	語苑五
148	NULL	市況雜話	2-1	語苑五
149	NULL	此久的世景怎樣。	2002-1-1	語苑五
150	NULL	畧畧仔起色。	2002-1-2	語苑五
151	NULL	頂幚的敗市是咱做生理人各個都不止受苦[口荷]。	2002-1-3	語苑五
152	NULL	是、大家大家、總是像此久的勢面的時候、	2002-1-5	語苑五
153	NULL	敢補能轉項幚的歹生理面。	2002-1-6	語苑五
154	NULL	講到怎樣亦是像恁有大本錢在開行的人較能擋得一年半年的敗市、	2002-2-1	語苑五
155	NULL	不拘像阮少本錢在零星賣的人、	2002-2-2	語苑五
156	NULL	本年是免講二三月日就續倒店。	2002-2-3	語苑五
157	NULL	不是如此講、呵、講倒店即想著、	2002-2-5	語苑五
158	NULL	我昨昏暗聽過路人在會、講三五商會續倒店有影無。	2002-2-6	語苑五
159	NULL	有啊無、伊的家伙是較無債項的一半。	2002-2-8	語苑五
160	NULL	歟、伊是生理做到彼大、怎樣仔即如此脆脆倒落去。	2002-2-9	語苑五
161	NULL	伊是一水仔當時是乘勢續續趁錢、續抵造化即敗板一下、	2002-2-11	語苑五
162	NULL	又更擔帶人的債項講有萬外元、	2002-3-1	語苑五
163	NULL	何能堪咧。	2002-3-2	語苑五
164	NULL	歟如此啊、我攏不知影。	2002-3-3	語苑五
165	NULL	財務用語	2-6	語苑五
166	NULL	地押調查	2-6	語苑五
167	NULL	在彼個陂腳的原野與園攏開做田、	2002-6-1	語苑五
168	NULL	尚頭適仔講彼個陂亦填去開做田、	2002-6-2	語苑五
169	NULL	此條是不知要怎樣仔辦理[口荷]。	2002-6-3	語苑五
170	NULL	園開做田此條是申告修正租地成、	2002-7-1	語苑五
171	NULL	原野開做田的與陂填做田此條是攏著申告有租地成就好。	2002-7-2	語苑五
172	NULL	申告書的體式我不知影、不知有一定的欵式抑無。	2002-7-4	語苑五
173	NULL	免講亦有一定的欵式、彼是土地整理委員盡知去、	2002-7-6	語苑五
174	NULL	所以汝著央伊寫。	2002-7-7	語苑五
175	NULL	申告書是不論何時提去都能使得是否。	2002-7-8	語苑五
176	NULL	不是如此講、土地有異動的時、	2002-7-9	語苑五
177	NULL	限六十日以內得確著去申告即能使得、	2002-7-10	語苑五
178	NULL	若是延過此個期限就能被人照規矩罰金、	2002-7-11	語苑五
179	NULL	所以此去若有土地異動的時節、	2002-8-1	語苑五
180	NULL	無拖延隨時對土地整理委員講、入申告書即能用得。	2002-8-2	語苑五
181	NULL	登記用語	02-08-03	語苑五
182	NULL	保存登記ﾉ受付調查	02-03-04	語苑五
183	NULL	尚有一起的是怎樣[口荷]。	2002-8-3	語苑五
184	NULL	此個是否、這亦是沒用得、在此張圖的間尺、	2002-8-4	語苑五
185	NULL	坪數有錯、汝是怎樣仔算即分出坪數來的、	2002-8-5	語苑五
186	NULL	更算看覔。	2002-9-1	語苑五
187	NULL	尚在此旁此張圖寫的欵的時節、坪數算沒得出來、	2002-9-2	語苑五
188	NULL	此處有線的所在、看有幾間幾尺、	2002-9-3	語苑五
189	NULL	著記落去即來入、	2002-9-4	語苑五
190	NULL	尚此跡與此跡著畫一條線即寫落有幾間幾尺來入、若無如此創、	2002-9-5	語苑五
191	NULL	就像如此此處彼處有角頭的厝的坪數是算難得出來、	2002-9-6	語苑五
192	NULL	著寫間尺寫到儘採人都算能得出來即來入、	2002-9-7	語苑五
193	NULL	尚講汝知圖是沒使得用鉛筆畫來入、	2002-9-8	語苑五
194	NULL	得確著用墨水畫、	2002-9-9	語苑五
195	NULL	字尚著用墨水寫的汝知否。	2002-9-10	語苑五
196	NULL	區長役場用語	2-10	語苑五
197	NULL	資產及生產調查的問答	2-10	語苑五
198	NULL	李乞就是敢汝本身乎。	2002-10-1	語苑五
199	NULL	是、請坐。	2002-10-2	語苑五
200	NULL	汝在住此間厝是自己的抑是與稅的乎。	2002-10-3	語苑五
201	NULL	自己的。	2002-10-4	語苑五
202	NULL	噫、起了真爽、別位尚有否。	2002-10-5	語苑五
203	NULL	有、在臺北城內府中街尚有三間。	2002-10-6	語苑五
204	NULL	一間一月日稅人若多乎。	2002-10-7	語苑五
205	NULL	二間稅人三十元、尚一間是四十元。	2002-11-1	語苑五
206	NULL	汝自己在住此間、有分稅人抑否。	2002-11-2	語苑五
207	NULL	有、後落分稅人、前落自己住。	2002-11-3	語苑五
208	NULL	一月日分稅人若多啊。	2002-11-4	語苑五
209	NULL	一月日五元銀分稅人。	2002-11-5	語苑五
210	NULL	汝現時在創甚頭路。	2002-11-6	語苑五
211	NULL	無創甚頭路、干乾收厝稅來在實用而已。	2002-11-7	語苑五
212	NULL	恁後生在做甚生理。	2002-11-8	語苑五
213	NULL	在被倩。	2002-11-9	語苑五
214	NULL	一月日食若多辛勞。	2002-11-10	語苑五
215	NULL	一月日食九元銀。	2002-11-11	語苑五
216	NULL	尚恁家內能食頭路的有幾個人。	2002-12-1	語苑五
217	NULL	尚有一個侄仔在做販仔。	2002-12-2	語苑五
218	NULL	糖業用語	2-12	語苑五
219	NULL	改良種的甘蔗是等候蔗栽若到、隨時打開裝包、	2002-12-3	語苑五
220	NULL	蔗葉剝起來、綑到細杷、做坦竪、	2002-12-4	語苑五
221	NULL	頂頭留三四寸浸落長流水、	2002-12-5	語苑五
222	NULL	用稻仔草、抑是樹葉、抑是土蓋置咧。	2002-12-6	語苑五
223	NULL	若無長流水的時、照適仔講如此綑起來、	2-13-1	語苑五
224	NULL	尋厝後有樹木的所在、抑是像竹抱有遮著日的所在、	2-13-2	語苑五
225	NULL	將蔗栽做坦竪、埋落三四寸深、	2-13-3	語苑五
226	NULL	用草抑是樹的軟葉、抑是稻仔草	2-13-4	語苑五
227	NULL	抑是糞帚的類蓋置、勿給伊遮著日、	2-13-5	語苑五
228	NULL	早起時與要暗仔的時、沃二次水不可給伊乾即好。	2-13-6	語苑五
229	NULL	浸長流水的時、限三日止、不可浸過四日、	2-13-8	語苑五
230	NULL	又將蔗栽攏浸落水過一夜一日、	2-13-9	語苑五
231	NULL	以後是下腳二三寸浸落水、	2-13-10	語苑五
232	NULL	頂頭是用能遮日的物蓋亦可以、	2-13-11	語苑五
233	NULL	所浸落水的蔗栽是蔗筍脹大起來能軟軟、	2-14-1	語苑五
234	NULL	所以要插栽的時後著細膩不可給伊著損傷這是較要緊。	2-14-2	語苑五
235	NULL	中部旅行案內用語	2-14	語苑五
236	NULL	翻轉日早早起身、行六里外路就到埔里社。	2-14-3	語苑五
237	NULL	龜仔頭去埔里社的路裡、有可食點心無。	2-14-5	語苑五
238	NULL	有呵、路裡幾仔坎的點心店、攏是本地人在開的。	2-14-6	語苑五
239	NULL	彼個點心店在賣甚貨仔。	2-15-2	語苑五
240	NULL	飯嘮、麵嘮、米粉嘮、稞嘮、各項攏有。	2-15-3	語苑五
241	NULL	埔里社、不知有客店可宿無。	2-15-4	語苑五
242	NULL	有呵、二三坎、埔社是大街的所在真鬧熱、	2-15-5	語苑五
243	NULL	亦有支廳、亦有登記所、尚有在起製糖會社。	2-15-6	語苑五
244	NULL	埔社是山頂抑是平洋。	2-15-8	語苑五
245	NULL	算是內山、不拘真平真濶、亦有田亦有園、	2-15-9	語苑五
246	NULL	山亦真高、實在真好光景。	2-15-10	語苑五
247	NULL	要返來臺中、依原行彼條路、抑是有別條路。	2-15-11	語苑五
248	NULL	行對龜仔頭彼條、算有較近路、	2-16-2	語苑五
249	NULL	對集集街亦有路、不拘較遠。	2-16-3	語苑五
250	NULL	對集集街、按對何位仔返來。	2-16-4	語苑五
251	NULL	我講汝聽。	2-16-5	語苑五
252	NULL	如此不止費神。	2-16-6	語苑五
253	NULL	埔里社到集集、差不多有十里外路、	2-16-7	語苑五
254	NULL	攏是山路真崎、不拘現時在設輕便鐵路、	2-16-8	語苑五
255	NULL	別日仔有可坐車仔、免行路。	2-16-9	語苑五
256	NULL	農會用語	2-17	語苑五
257	NULL	怎樣仔即如此較歹。	2-17-1	語苑五
258	NULL	播稻仔的時、磷酸肥料以外、落甚麼肥料。	2-17-2	語苑五
259	NULL	有參燒糞與土糞。	2-17-4	語苑五
260	NULL	歟、如此即知影、磷酸與火灰、若是參做一下就較無見效、	2-17-5	語苑五
261	NULL	所以發了較歹的。	2-17-6	語苑五
262	NULL	在此旁的發了不止美彼是怎樣仔。	2-17-7	語苑五
263	NULL	彼是落豬椆肥。	2-17-8	語苑五
264	NULL	汝的模範田的大菜是何時落種。	2-18-1	語苑五
265	NULL	尚何時發芽。	2-18-2	語苑五
266	NULL	落種是不知何當時續沒記得	2-18-3	語苑五
267	NULL	總是我能記得落種了後過五日抑是六日即發芽嘮。	2-18-4	語苑五
268	NULL	歟、何時結花蕊、尚到何時即開花。	2-18-5	語苑五
269	NULL	彼我無甚能記得。	2-18-6	語苑五
270	NULL	若如此、敢有記在日誌、提給我看覔咧。	2-18-7	語苑五
271	NULL	無、我無記日誌。	2-18-8	語苑五
272	NULL	如此沒用得、後次得確著記、不可沒記得。	2-18-9	語苑五
273	NULL	好、後次得確記。	2-18-11	語苑五
274	NULL	紀元節	2-19	語苑五
275	NULL	紀元節是什麼祭日喇。	2-19-1	語苑五
276	NULL	是阮皇祖	2-19-2	語苑五
277	NULL	神武天皇起初開國坐天的紀念日喇。	2-19-3	語苑五
278	NULL	歟彼個就是今仔日的紀元節[口荷]如此我今知影喇。	2-19-4	語苑五
279	NULL	這紀元節就是在日本三個大祭日的一個喇。	2-19-6	語苑五
280	NULL	若是如此尚彼二個是甚麼祭日啊。	2-20-1	語苑五
281	NULL	正月初一（ 皇帝拜賀四方的日）號做四方拜及十一月初三（咱 皇帝的萬壽日)號做天長節就是此二個祭日喇。	2-20-2	語苑五
282	NULL	神武天皇坐天到今有若多年啊。	2-20-5	語苑五
283	NULL	二千五百七十二年喇。	2-20-6	語苑五
284	NULL	若是如此 神武天皇坐天彼日二月十一日是有甚麼大關係的日抑不是。	2-20-7	語苑五
285	NULL	彼是如此的喇。	2-20-9	語苑五
286	NULL	神武天皇坐天彼日就是舊曆的正月初一	2-20-10	語苑五
287	NULL	所以若算新曆就適適是二月十一喇。	2-20-11	語苑五
288	NULL	對 神武天皇傳到咱現今的 天皇陛下有若多代啊。	2-21-1	語苑五
289	NULL	適適一百二十二代而各代的 皇帝真有仁德真賢憐憫百姓。	2-21-3	語苑五
290	NULL	所以自古至今 皇家的帝派一派連連相續傳來真大恭喜的國道。	2-21-5	語苑五
291	NULL	咱 天皇陛下不正聰明現在能文明進步攏是皇帝的恩澤所賜的。	2-21-7	語苑五
292	NULL	幸得咱出世在此號大福氣大恭喜的國道	2-21-9	語苑五
293	NULL	所以咱得確著盡忠盡義骨力經營盡臣民的本分來行俾國家永遠大興旺即好。	2-21-10	語苑五
294	NULL	人講大義滅親此句就是為著盡忠放丟孝道的意思喇。	2-22-1	語苑五
295	NULL	簡易警察用語	2-22	語苑五
296	NULL	稟做好抑尚未。	2-22-3	語苑五
297	NULL	尚未做好。	2-22-4	語苑五
298	NULL	怎樣尚未好。	2-22-5	語苑五
299	NULL	因為破病、身軀不止虛弱、腳軟落、手縮縮、	2-22-6	語苑五
300	NULL	續攏沒夯筆咧。	2-23-1	語苑五
301	NULL	汝實在是與木像同欵、據在人衡、尚據在人扭、	2-23-2	語苑五
302	NULL	亦攏沒震動就是汝閣。	2-23-3	語苑五
303	NULL	請大人不可怒氣孤此次而已容情我咧。	2-23-4	語苑五
304	NULL	汝此個真正故人怨的、彼好意教汝亦不聽、	2-23-5	語苑五
305	NULL	此次得確不饒汝。	2-23-6	語苑五
306	NULL	我都不是特心要違逆汝的命令、是為著不得己的事、	2-23-7	語苑五
307	NULL	請做情咧嘮。	2-23-8	語苑五
308	NULL	彼不准、著做始末書來。	2-23-9	語苑五
309	NULL	讀者之領分	2-24	語苑五
310	NULL	阮厝邊有一堀大池在得、此水池裡[魚逮]魚或是烏仔魚真多在得、	2-24-1	語苑五
311	NULL	所以來釣魚的人不時住、	2-24-2	語苑五
312	NULL	尚有時仔來拋網要拿魚的亦有若拿著彼候、	2-24-3	語苑五
313	NULL	{伊心}若呢暢汝知否。	2-24-4	語苑五
314	NULL	水池無若遠彼、有一間細間仔在得、	2-25-1	語苑五
315	NULL	彼間就是打午時銃的所在、不拘常時是較靜靜、	2-25-2	語苑五
316	NULL	人何能知彼號大摃銃在得、彼邊仔一概是田、	2-25-3	語苑五
317	NULL	田蛤仔在田岸在吼、	2-25-4	語苑五
318	NULL	尚在彼天中裡田蜻或是白鴒鸞飛來飛去、	2-25-5	語苑五
319	NULL	尚若是看較遠的、就是滿滿是山有個真高	2-25-6	語苑五
320	NULL	因為不時罩雲就知、	2-25-7	語苑五
321	NULL	尚有個較低恰若與近位的墓相賽高的欵、	2-25-8	語苑五
322	NULL	尚若是看正手旁就是田庄人在作穡、	2-25-9	語苑五
323	NULL	遇著此呢太平的時、	2-25-10	語苑五
324	NULL	彼號人豈能知此次在清國的革命是怎樣	2-25-11	語苑五
325	NULL	像如此近邊的光景不止清幽、恁大家若是不愛鬧熱、	2-26-1	語苑五
326	NULL	若有閑的時、罔行罔行來{辶日}迌好否。	2-26-2	語苑五
327	NULL	雜錄	2-29	語苑五
328	NULL	落語	2-29	語苑五
329	NULL	子是翁某的蜈蜞釘	2-29	語苑五
330	NULL	好嘮、好嘮、今恬恬、做你返去、彼條事情不可沒記咧。	2-29-1	語苑五
331	NULL	若沒記咧、即更來此問你、又更要趁一個銀、	2-29-3	語苑五
332	NULL	啊真好空、我要返來去。	2-29-4	語苑五
333	NULL	哈、笑死囝仔今著返去。	2-29-5	語苑五
334	NULL	好我要返去。	2-29-6	語苑五
335	NULL	囝仔就返去恁厝、自己的衫脫起來、要掛壁邊的釘仔的時、	2-29-7	語苑五
336	NULL	預先藏囊仔內的一個銀、轉落來土腳、	2-30-1	語苑五
337	NULL	恁老父看著遂罵。	2-30-2	語苑五
338	NULL	噫噫、你怎樣、何有此號銀、敢是提人的都著、	2-30-3	語苑五
339	NULL	你不恐死是不、□、你知不、我細傼到今、不曾拈別人的草技、	2-30-4	語苑五
340	NULL	此號事屢屢與你講你敢知、	2-30-5	語苑五
341	NULL	又更為人若適著艱苦抑是貧窮、攏無甚麼法度的時、	2-30-6	語苑五
342	NULL	若是平常正經、行踏不止好、就的確有人要救咱、	2-30-7	語苑五
343	NULL	你不知天亦有目睭此句話、	2-30-8	語苑五
344	NULL	你今仔日各頂都有到額抑不是、你有甚麼不足、	2-30-9	語苑五
345	NULL	即敢做此號事情、噫噫、你著照實講、此號銀何位來、	2-30-10	語苑五
346	NULL	你若不照實講、我要夯鐵槌來打、打到死死、	2-30-11	語苑五
347	NULL	看你怎樣。	2-30-12	語苑五
348	NULL	你平常正經賭博食酒、行踏不止好嘮。	2-31-1	語苑五
349	NULL	亦怎你看我無目底是不、你與乃父看覻咧。	2-31-2	語苑五
350	NULL	我講不著嘮、你不可受氣、此號實在不是偷提人的、	2-31-3	語苑五
351	NULL	我頭到尾講給你聽[口荷]我講你敢歡喜都著。	2-31-4	語苑五
352	NULL	你請我何歡喜使您老母。	2-31-5	語苑五
353	NULL	啊哟、你夯鐵槌來擊我、我較加嗎死你知不、	2-31-6	語苑五
354	NULL	我是你的單單一粒囝、我若死我無相干、	2-31-7	語苑五
355	NULL	我若死、你不可泣。	2-31-8	語苑五
356	NULL	殺生戒	2-32	語苑五
357	NULL	有一日好額的老大人、提念珠、夯拐仔、	2-32-1	語苑五
358	NULL	每日拜神佛在運行、有一日在水池墘的辨天廟來拜、	2-32-2	語苑五
359	NULL	看彼邊頭就有一坎細仔間的鰻店、	2-32-3	語苑五
360	NULL	彼當時適即彼坎的頭家對鰻籱仔裡拿一尾起來、	2-32-4	語苑五
361	NULL	置在柴砧頂、要鍤鑽仔。	2-32-5	語苑五
362	NULL	南無阿彌陀佛南無阿彌陀佛、唉且等咧。	2-32-6	語苑五
363	NULL	好、來坐、坐樓頂較好。	2-32-7	語苑五
364	NULL	不是我要食的。	2-32-8	語苑五
365	NULL	如此啊。	2-32-9	語苑五
366	NULL	彼尾鰻要創甚貸。	2-32-10	語苑五
367	NULL	這是樓頂的人客吩咐我做、今想要烘火的閣。	2-32-11	語苑五
368	NULL	且等咧、我遇著看刣鰻、沒吞忍咧恬恬、	2-33-1	語苑五
369	NULL	得確要救伊的命、請汝賣給我。	2-33-2	語苑五
370	NULL	汝不是要食是否。	2-33-3	語苑五
371	NULL	鰻是虛空藏公的派下、像此呢大尾、豈有人要食是否。	2-33-4	語苑五
372	NULL	鰻是討無、此候較貴汝知否。	2-33-6	語苑五
373	NULL	貴亦是無要緊、給伊入籱裡…	2-33-7	語苑五
374	NULL	「南無阿彌陀佛南無阿彌陀佛」…(即對鰻講)、	2-33-8	語苑五
375	NULL	我若緩一步到就恁被伊烘了續被人食去、	2-33-9	語苑五
376	NULL	我遇著是恁真萬幸、今不可被人看著、	2-33-10	語苑五
377	NULL	（講了拋水池裡）	2-33-11	語苑五
378	NULL	[口兮]、今仔日真正做好事。	2-33-12	語苑五
379	NULL	酒鬼	2-34	語苑五
